R	Gamma	E
2.60	25	-115.831292839611
2.60	30	-115.831835776204
2.60	35	-115.832362439066
2.60	40	-115.832848990525
2.60	45	-115.833281123918
2.60	50	-115.833653089916
2.60	55	-115.833965772454
2.60	60	-115.834224590772
2.60	65	-115.83443752097
2.60	70	-115.834613558699
2.60	75	-115.834761435284
2.60	80	-115.834888579084
2.60	85	-115.8350000088
2.60	90	-115.835097056215
2.60	95	-115.835175770165
2.60	100	-115.835224949911
2.60	105	-115.835223632921
2.60	110	-115.835137728612
2.60	115	-115.834915388775
2.60	120	-115.83448114981
2.60	125	-115.833729500884
2.60	130	-115.832519491604
2.60	135	-115.830675112876
2.60	140	-115.828005478446
2.60	145	-115.824357591811
2.60	150	-115.819676897525
2.60	155	-115.814027795739
2.60	160	-115.807606864495
2.60	165	-115.800813105986
2.60	170	-115.794358801134
2.60	175	-115.789436822291
2.60	180	-115.787544518524
2.70	0	-115.831857821783
2.70	5	-115.831910665754
2.70	10	-115.83206353689
2.70	15	-115.832300707919
2.70	20	-115.832599387514
2.70	25	-115.832933811381
2.70	30	-115.833279131346
2.70	35	-115.833614431262
2.70	40	-115.833924470429
2.70	45	-115.834200036633
2.70	50	-115.834437426525
2.70	55	-115.834637242487
2.70	60	-115.834803140206
2.70	65	-115.834940584337
2.70	70	-115.835055851655
2.70	75	-115.835155192823
2.70	80	-115.835244080048
2.70	85	-115.835326414948
2.70	90	-115.835403534235
2.70	95	-115.835473000878
2.70	100	-115.835527122791
2.70	105	-115.835551212772
2.70	110	-115.83552134467
2.70	115	-115.835401260481
2.70	120	-115.835138212222
2.70	125	-115.83465842766
2.70	130	-115.833863879802
2.70	135	-115.832633243723
2.70	140	-115.830834529205
2.70	145	-115.828361629251
2.70	150	-115.82518909967
2.70	155	-115.821399922694
2.70	160	-115.817175386384
2.70	165	-115.812815284968
2.70	170	-115.808808647937
2.70	175	-115.80586923177
2.70	180	-115.804769201806
2.80	0	-115.83329989471
2.80	5	-115.833333062914
2.80	10	-115.833429060638
2.80	15	-115.833578029934
2.80	20	-115.833765732824
2.80	25	-115.833975995576
2.80	30	-115.834193172115
2.80	35	-115.834404076447
2.80	40	-115.834599037108
2.80	45	-115.834772239095
2.80	50	-115.834921363655
2.80	55	-115.835046958503
2.80	60	-115.835151595902
2.80	65	-115.835239141775
2.80	70	-115.83531407934
2.80	75	-115.835380974186
