R	Gamma	E
4.60	170	-115.835676382032
4.60	175	-115.835703073398
4.60	180	-115.835712460197
4.70	0	-115.835305751998
4.70	5	-115.835305661479
4.70	10	-115.835305396853
4.70	15	-115.835304972245
4.70	20	-115.835304411033
4.70	25	-115.835303743157
4.70	30	-115.835303003404
4.70	35	-115.835302229089
4.70	40	-115.835301458714
4.70	45	-115.835300730717
4.70	50	-115.835300082776
4.70	55	-115.835299551804
4.70	60	-115.835299174206
4.70	65	-115.83529898649
4.70	70	-115.835299026342
4.70	75	-115.835299333373
4.70	80	-115.83529995055
4.70	85	-115.835300925592
4.70	90	-115.835302313474
4.70	95	-115.835304181114
4.70	100	-115.835306617284
4.70	105	-115.835309751715
4.70	110	-115.835313788809
4.70	115	-115.8353190575
4.70	120	-115.835326073121
4.70	125	-115.835335590097
4.70	130	-115.835348610681
4.70	135	-115.835366297806
4.70	140	-115.835389754083
4.70	145	-115.83541966454
4.70	150	-115.835455865245
4.70	155	-115.835496961284
4.70	160	-115.835540144289
4.70	165	-115.835581331533
4.70	170	-115.835615706759
4.70	175	-115.83563862179
4.70	180	-115.835646677929
4.80	0	-115.835302267326
4.80	5	-115.835302186263
4.80	10	-115.835301949296
4.80	15	-115.83530156819
4.80	20	-115.835301062686
4.80	25	-115.835300458462
4.80	30	-115.835299785269
4.80	35	-115.835299075659
4.80	40	-115.835298363454
4.80	45	-115.835297682709
4.80	50	-115.835297067259
4.80	55	-115.835296550277
4.80	60	-115.835296164656
4.80	65	-115.835295943342
4.80	70	-115.835295920029
4.80	75	-115.83529613005
4.80	80	-115.835296611161
4.80	85	-115.835297404905
4.80	90	-115.835298558399
4.80	95	-115.835300127627
4.80	100	-115.835302185006
4.80	105	-115.835304833767
4.80	110	-115.83530823461
4.80	115	-115.835312647052
4.80	120	-115.835318482232
4.80	125	-115.835326353951
4.80	130	-115.835337095423
4.80	135	-115.835351698989
4.80	140	-115.835371138534
4.80	145	-115.835396062404
4.80	150	-115.835426407549
4.80	155	-115.835461042984
4.80	160	-115.835497589377
4.80	165	-115.835532543022
4.80	170	-115.835561757639
4.80	175	-115.835581243581
4.80	180	-115.835588095622
4.90	0	-115.835299359794
4.90	5	-115.835299285773
4.90	10	-115.835299069236
4.90	15	-115.835298720377
4.90	20	-115.835298256411
4.90	25	-115.835297699766
4.90	30	-115.835297076739
4.90	35	-115.83529641631
4.90	40	-115.835295748807
4.90	45	-115.835295105068
4.90	50	-115.835294515747
4.90	55	-115.835294011188
4.90	60	-115.835293621354
4.90	65	-115.835293376086
4.90	70	-115.83529330576
4.90	75	-115.835293441872
4.90	80	-115.835293817807
4.90	85	-115.835294469831
4.90	90	-115.835295438432
4.90	95	-115.835296770848
4.90	100	-115.835298526305
4.90	105	-115.835300786892
4.90	110	-115.835303677977
4.90	115	-115.835307400885
4.90	120	-115.835312277454
4.90	125	-115.835318795623
4.90	130	-115.835327631512
4.90	135	-115.835339610398
4.90	140	-115.835355567961
4.90	145	-115.835376096463
4.90	150	-115.835401208868
4.90	155	-115.835430014455
4.90	160	-115.835460542934
4.90	165	-115.835489838436
4.90	170	-115.835514378065
4.90	175	-115.83553076624
4.90	180	-115.835536531695
5.00	0	-115.835296892019
5.00	5	-115.835296823462
5.00	10	-115.835296622875
5.00	15	-115.835296299296
5.00	20	-115.835295868019
5.00	25	-115.835295349164
5.00	30	-115.835294766412
5.00	35	-115.835294146038
5.00	40	-115.835293515662
5.00	45	-115.83529290349
5.00	50	-115.835292337763
5.00	55	-115.835291846296
5.00	60	-115.835291456549
5.00	65	-115.835291195794
5.00	70	-115.835291091447
5.00	75	-115.83529117173
5.00	80	-115.835291466204
5.00	85	-115.8352920067
5.00	90	-115.835292828207
5.00	95	-115.835293970824
5.00	100	-115.835295483323
5.00	105	-115.835297431255
5.00	110	-115.835299911717
5.00	115	-115.835303079066
5.00	120	-115.835307180665
5.00	125	-115.83531259617
5.00	130	-115.835319861393
5.00	135	-115.835329645227
5.00	140	-115.835342645399
5.00	145	-115.835359383282
5.00	150	-115.835379920436
5.00	155	-115.835403573088
5.00	160	-115.835428742706
5.00	165	-115.835452979688
5.00	170	-115.835473333876
5.00	175	-115.835486949382
5.00	180	-115.835491742902
5.10	0	-115.835294765001
5.10	5	-115.83529470097
5.10	10	-115.835294513675
5.10	15	-115.835294211223
5.10	20	-115.835293807507
5.10	25	-115.835293320776
5.10	30	-115.835292772736
5.10	35	-115.835292187454
5.10	40	-115.835291590319
5.10	45	-115.835291007446
5.10	50	-115.835290464869
5.10	55	-115.835289988307
5.10	60	-115.835289602993
5.10	65	-115.835289333912
5.10	70	-115.835289205936
5.10	75	-115.835289244415
5.10	80	-115.8352894757
5.10	85	-115.835289927759
5.10	90	-115.835290631073
5.10	95	-115.835291619862
5.10	100	-115.835292934712
5.10	105	-115.835294628184
5.10	110	-115.835296775504
5.10	115	-115.835299493775
5.10	120	-115.83530297002
5.10	125	-115.835307493743
5.10	130	-115.835313479745
5.10	135	-115.835321456901
5.10	140	-115.83533199152
5.10	145	-115.835345526526
5.10	150	-115.835362148151
5.10	155	-115.835381341395
5.10	160	-115.835401832766
5.10	165	-115.835421627107
5.10	170	-115.835438293261
5.10	175	-115.835449461132
5.10	180	-115.835453396643
5.20	0	-115.835292907954
5.20	5	-115.835292847938
5.20	10	-115.83529267243
5.20	15	-115.835292388783
5.20	20	-115.835292009736
5.20	25	-115.835291552119
5.20	30	-115.835291035872
5.20	35	-115.835290483224
5.20	40	-115.835289917727
5.20	45	-115.835289363535
5.20	50	-115.835288844783
5.20	55	-115.835288385307
5.20	60	-115.835288008393
5.20	65	-115.835287736935
5.20	70	-115.835287593544
5.20	75	-115.835287601186
5.20	80	-115.835287783311
5.20	85	-115.835288164722
5.20	90	-115.835288772021
5.20	95	-115.835289634693
5.20	100	-115.835290786827
5.20	105	-115.835292270894
5.20	110	-115.835294145345
5.20	115	-115.835296498527
5.20	120	-115.835299469748
5.20	125	-115.835303275447
5.20	130	-115.8353082297
5.20	135	-115.835314740196
5.20	140	-115.835323253783
5.20	145	-115.835334133667
5.20	150	-115.835347472026
5.20	155	-115.835362885793
5.20	160	-115.835379375968
5.20	165	-115.835395344991
5.20	170	-115.835408820281
5.20	175	-115.835417864607
5.20	180	-115.835421054499
5.30	0	-115.835291270304
5.30	5	-115.835291214011
5.30	10	-115.835291049444
5.30	15	-115.835290783339
5.30	20	-115.83529042747
5.30	25	-115.835289997339
5.30	30	-115.83528951145
5.30	35	-115.835288990375
5.30	40	-115.835288455967
5.30	45	-115.835287930653
5.30	50	-115.835287436848
5.30	55	-115.8352869966
5.30	60	-115.835286631436
5.30	65	-115.835286362374
5.30	70	-115.835286210098
5.30	75	-115.835286195333
5.30	80	-115.835286339188
5.30	85	-115.835286663618
5.30	90	-115.835287192108
5.30	95	-115.835287950182
5.30	100	-115.835288966723
5.30	105	-115.835290276453
5.30	110	-115.835291925092
5.30	115	-115.835293979079
5.30	120	-115.835296540994
5.30	125	-115.835299769668
5.30	130	-115.835303897504
5.30	135	-115.835309230841
5.30	140	-115.835316112479
5.30	145	-115.835324829433
5.30	150	-115.83533546677
5.30	155	-115.835347741014
5.30	160	-115.835360878777
5.30	165	-115.835373619237
5.30	170	-115.835384387571
5.30	175	-115.835391624289
5.30	180	-115.835394178721
5.40	0	-115.835289815597
5.40	5	-115.835289762865
5.40	10	-115.835289608752
5.40	15	-115.835289359505
5.40	20	-115.83528902595
5.40	25	-115.835288622457
5.40	30	-115.835288166184
5.40	35	-115.835287676195
5.40	40	-115.835287172782
5.40	45	-115.835286676767
5.40	50	-115.835286208934
5.40	55	-115.835285789701
5.40	60	-115.835285438967
5.40	65	-115.835285176062
5.40	70	-115.835285019909
5.40	75	-115.835284989309
5.40	80	-115.835285103271
5.40	85	-115.835285381437
5.40	90	-115.835285844511
5.40	95	-115.835286514812
5.40	100	-115.835287417059
5.40	105	-115.83528857999
5.40	110	-115.835290039646
5.40	115	-115.835291846137
5.40	120	-115.835294074305
5.40	125	-115.835296838643
5.40	130	-115.835300307271
5.40	135	-115.835304704266
5.40	140	-115.835310284764
5.40	145	-115.835317267087
5.40	150	-115.835325721322
5.40	155	-115.835335436616
5.40	160	-115.835345820118
5.40	165	-115.835355890031
5.40	170	-115.83536440708
5.40	175	-115.835370135474
5.40	180	-115.835372158455
5.50	0	-115.835288517112
5.50	5	-115.835288467812
5.50	10	-115.835288323859
5.50	15	-115.835288090953
5.50	20	-115.835287779115
5.50	25	-115.835287401674
5.50	30	-115.835286974482
5.50	35	-115.83528651525
5.50	40	-115.835286042762
5.50	45	-115.835285576303
5.50	50	-115.835285135173
5.50	55	-115.835284738253
5.50	60	-115.83528440391
5.50	65	-115.835284149986
5.50	70	-115.83528399377
5.50	75	-115.835283952368
5.50	80	-115.835284042971
5.50	85	-115.835284283206
5.50	90	-115.835284691436
5.50	95	-115.835285287315
5.50	100	-115.835286092172
5.50	105	-115.835287130062
5.50	110	-115.835288429892
5.50	115	-115.835290029508
5.50	120	-115.835291983299
5.50	125	-115.83529437244
5.50	130	-115.83529731566
5.50	135	-115.835300972323
5.50	140	-115.835305525934
5.50	145	-115.835311135775
5.50	150	-115.835317853146
5.50	155	-115.835325518989
5.50	160	-115.835333681214
5.50	165	-115.83534158389
5.50	170	-115.835348265044
5.50	175	-115.835352758873
5.50	180	-115.835354346346
5.60	0	-115.835287354737
5.60	5	-115.835287308782
5.60	10	-115.835287174681
5.60	15	-115.835286957645
5.60	20	-115.835286666977
5.60	25	-115.835286314979
5.60	30	-115.835285916295
5.60	35	-115.83528548732
5.60	40	-115.835285045438
5.60	45	-115.835284608529
5.60	50	-115.835284194396
5.60	55	-115.835283820565
5.60	60	-115.835283503966
5.60	65	-115.835283260974
5.60	70	-115.835283107481
5.60	75	-115.835283059113
5.60	80	-115.835283131449
5.60	85	-115.835283340308
5.60	90	-115.835283702134
5.60	95	-115.835284234286
5.60	100	-115.835284955331
5.60	105	-115.835285885693
5.60	110	-115.835287048795
5.60	115	-115.835288473657
5.60	120	-115.835290199655
5.60	125	-115.835292283477
5.60	130	-115.835294806883
5.60	135	-115.835297879607
5.60	140	-115.835301628654
5.60	145	-115.835306164344
5.60	150	-115.83531151886
5.60	155	-115.835317568736
5.60	160	-115.835323969881
5.60	165	-115.835330145254
5.60	170	-115.835335356669
5.60	175	-115.835338859024
5.60	180	-115.835340095966
5.70	0	-115.835286312768
5.70	5	-115.835286270037
5.70	10	-115.835286145475
5.70	15	-115.835285943816
5.70	20	-115.835285673665
5.70	25	-115.835285346352
5.70	30	-115.835284975398
5.70	35	-115.835284575952
5.70	40	-115.835284164097
5.70	45	-115.835283756305
5.70	50	-115.835283369083
5.70	55	-115.835283018567
5.70	60	-115.835282720378
5.70	65	-115.83528248962
5.70	70	-115.835282340877
5.70	75	-115.835282288405
5.70	80	-115.835282346375
5.70	85	-115.835282529059
5.70	90	-115.835282851254
5.70	95	-115.835283328348
5.70	100	-115.835283976668
5.70	105	-115.835284813711
5.70	110	-115.83528585878
5.70	115	-115.835287134439
5.70	120	-115.835288669211
5.70	125	-115.835290502229
5.70	130	-115.835292688229
5.70	135	-115.83529529983
5.70	140	-115.835298420894
5.70	145	-115.835302122462
5.70	150	-115.835306419393
5.70	155	-115.835311212388
5.70	160	-115.835316238425
5.70	165	-115.83532105943
5.70	170	-115.835325113914
5.70	175	-115.835327833788
5.70	180	-115.835328793817
5.80	0	-115.835285378492
5.80	5	-115.835285338846
5.80	10	-115.835285223439
5.80	15	-115.835285036552
5.80	20	-115.835284786112
5.80	25	-115.835284482564
5.80	30	-115.83528413838
5.80	35	-115.835283767469
5.80	40	-115.835283384694
5.80	45	-115.835283005283
5.80	50	-115.835282644422
5.80	55	-115.835282317002
5.80	60	-115.835282037444
5.80	65	-115.835281819641
5.80	70	-115.835281676975
5.80	75	-115.835281622522
5.80	80	-115.835281669151
5.80	85	-115.83528182985
5.80	90	-115.835282117902
5.80	95	-115.835282547072
5.80	100	-115.835283131768
5.80	105	-115.835283887162
5.80	110	-115.835284829432
5.80	115	-115.835285976352
5.80	120	-115.83528734885
5.80	125	-115.835288973531
5.80	130	-115.835290885836
5.80	135	-115.835293131536
5.80	140	-115.83529576216
5.80	145	-115.835298818984
5.80	150	-115.835302301789
5.80	155	-115.83530612767
5.80	160	-115.835310093818
5.80	165	-115.835313867937
5.80	170	-115.835317025799
5.80	175	-115.835319137933
5.80	180	-115.835319882531
5.90	0	-115.835284541193
5.90	5	-115.835284504518
5.90	10	-115.835284397808
5.90	15	-115.835284224994
5.90	20	-115.835283993356
5.90	25	-115.83528371246
5.90	30	-115.835283393817
5.90	35	-115.835283050242
5.90	40	-115.83528269538
5.90	45	-115.835282343239
5.90	50	-115.835282007871
5.90	55	-115.835281702958
5.90	60	-115.835281441821
5.90	65	-115.835281237219
5.90	70	-115.835281101473
5.90	75	-115.835281046529
5.90	80	-115.835281084196
5.90	85	-115.83528122624
5.90	90	-115.835281484657
5.90	95	-115.835281871804
5.90	100	-115.835282400486
5.90	105	-115.835283084001
5.90	110	-115.835283936012
5.90	115	-115.835284970894
5.90	120	-115.835286204108
5.90	125	-115.835287653592
5.90	130	-115.835289341316
5.90	135	-115.835291294004
5.90	140	-115.835293540044
5.90	145	-115.835296098415
5.90	150	-115.835298957285
5.90	155	-115.835302044759
5.90	160	-115.835305202186
5.90	165	-115.835308176739
5.90	170	-115.835310648623
5.90	175	-115.835312295094
5.90	180	-115.835312874587
6.00	0	-115.835283791559
6.00	5	-115.835283757651
6.00	10	-115.835283659178
6.00	15	-115.835283499671
6.00	20	-115.835283285797
6.00	25	-115.835283026339
6.00	30	-115.835282731891
6.00	35	-115.835282414217
6.00	40	-115.83528208584
6.00	45	-115.835281759697
6.00	50	-115.835281448682
6.00	55	-115.835281165423
6.00	60	-115.835280922177
6.00	65	-115.835280730669
6.00	70	-115.835280602253
6.00	75	-115.835280547925
6.00	80	-115.835280578419
6.00	85	-115.835280704499
6.00	90	-115.835280937016
6.00	95	-115.835281287112
6.00	100	-115.835281766218
6.00	105	-115.835282386034
6.00	110	-115.835283158318
6.00	115	-115.835284094857
6.00	120	-115.835285207303
6.00	125	-115.835286507606
6.00	130	-115.835288008544
6.00	135	-115.835289723804
6.00	140	-115.835291665566
6.00	145	-115.835293836987
6.00	150	-115.835296217698
6.00	155	-115.835298743498
6.00	160	-115.835301287945
6.00	165	-115.835303657149
6.00	170	-115.835305609671
6.00	175	-115.835306903413
6.00	180	-115.835307357691
6.20	0	-115.835282522867
6.20	5	-115.835282494009
6.20	10	-115.835282410429
6.20	15	-115.835282275004
6.20	20	-115.835282093322
6.20	25	-115.83528187278
6.20	30	-115.835281622268
6.20	35	-115.835281351668
6.20	40	-115.835281071588
6.20	45	-115.835280792909
6.20	50	-115.835280526568
6.20	55	-115.835280283255
6.20	60	-115.835280073342
6.20	65	-115.835279906839
6.20	70	-115.835279793286
6.20	75	-115.835279742013
6.20	80	-115.835279762036
6.20	85	-115.835279862352
6.20	90	-115.835280051958
6.20	95	-115.835280339958
6.20	100	-115.835280735567
6.20	105	-115.83528124803
6.20	110	-115.835281886284
6.20	115	-115.835282658652
6.20	120	-115.835283572141
6.20	125	-115.83528463192
6.20	130	-115.83528584069
6.20	135	-115.835287197765
6.20	140	-115.83528869742
6.20	145	-115.835290325214
6.20	150	-115.8352920515
6.20	155	-115.835293822557
6.20	160	-115.835295552572
6.20	165	-115.835297122556
6.20	170	-115.835298391529
6.20	175	-115.835299221595
6.20	180	-115.83529951146
6.40	0	-115.835281514855
6.40	5	-115.835281490323
6.40	10	-115.835281419529
6.40	15	-115.835281304799
6.40	20	-115.835281150807
6.40	25	-115.835280963742
6.40	30	-115.835280751046
6.40	35	-115.835280521067
6.40	40	-115.835280282719
6.40	45	-115.835280045166
6.40	50	-115.835279817667
6.40	55	-115.835279609269
6.40	60	-115.835279428783
6.40	65	-115.835279284683
6.40	70	-115.835279185148
6.40	75	-115.835279138005
6.40	80	-115.835279150934
6.40	85	-115.835279231513
6.40	90	-115.835279387215
6.40	95	-115.835279625582
6.40	100	-115.835279954146
6.40	105	-115.835280380303
6.40	110	-115.835280911048
6.40	115	-115.835281552517
6.40	120	-115.835282309255
6.40	125	-115.835283183375
6.40	130	-115.835284173434
6.40	135	-115.835285273329
6.40	140	-115.835286470716
6.40	145	-115.83528774505
6.40	150	-115.83528906474
6.40	155	-115.835290383655
6.40	160	-115.835291638773
6.40	165	-115.835292751174
6.40	170	-115.835293633216
6.40	175	-115.835294202549
6.40	180	-115.835294400179
6.60	0	-115.835280719571
6.60	5	-115.835280698693
6.60	10	-115.83528063871
6.60	15	-115.835280541476
6.60	20	-115.835280410876
6.60	25	-115.835280252133
6.60	30	-115.835280071478
6.60	35	-115.835279875927
6.60	40	-115.835279672975
6.60	45	-115.835279470393
6.60	50	-115.835279275982
6.60	55	-115.835279097444
6.60	60	-115.835278942253
6.60	65	-115.835278817631
6.60	70	-115.835278730529
6.60	75	-115.835278687637
6.60	80	-115.835278695512
6.60	85	-115.835278760514
6.60	90	-115.835278888969
6.60	95	-115.835279087156
6.60	100	-115.835279361252
6.60	105	-115.835279717271
6.60	110	-115.83528016075
6.60	115	-115.835280696329
6.60	120	-115.835281327104
6.60	125	-115.835282053748
6.60	130	-115.835282873379
6.60	135	-115.835283778353
6.60	140	-115.835284755042
6.60	145	-115.835285782329
6.60	150	-115.835286830493
6.60	155	-115.83528786016
6.60	160	-115.835288822255
6.60	165	-115.835289660042
6.60	170	-115.835290314437
6.60	175	-115.835290732213
6.60	180	-115.835290876581
6.80	0	-115.835280097056
6.80	5	-115.835280079238
6.80	10	-115.835280028306
6.80	15	-115.835279945693
6.80	20	-115.835279834692
6.80	25	-115.83527969965
6.80	30	-115.835279545832
6.80	35	-115.835279379134
6.80	40	-115.835279205922
6.80	45	-115.835279032732
6.80	50	-115.835278866162
6.80	55	-115.835278712805
6.80	60	-115.835278579013
6.80	65	-115.835278470951
6.80	70	-115.83527839458
6.80	75	-115.835278355639
6.80	80	-115.835278359663
6.80	85	-115.835278412135
6.80	90	-115.835278518384
6.80	95	-115.835278683675
6.80	100	-115.835278913147
6.80	105	-115.835279211685
6.80	110	-115.835279583722
6.80	115	-115.835280032811
6.80	120	-115.83528056108
6.80	125	-115.835281168476
6.80	130	-115.835281851722
6.80	135	-115.835282603266
6.80	140	-115.835283410145
6.80	145	-115.835284253081
6.80	150	-115.835285105757
6.80	155	-115.835285934836
6.80	160	-115.83528670082
6.80	165	-115.835287360422
6.80	170	-115.835287870529
6.80	175	-115.835288193804
6.80	180	-115.835288305204
7.00	0	-115.835279614379
7.00	5	-115.835279599109
7.00	10	-115.835279555708
7.00	15	-115.835279485241
7.00	20	-115.835279390559
7.00	25	-115.835279275248
7.00	30	-115.835279143786
7.00	35	-115.835279001179
7.00	40	-115.835278852744
7.00	45	-115.835278704079
7.00	50	-115.83527856081
7.00	55	-115.835278428534
7.00	60	-115.835278312676
7.00	65	-115.835278218539
7.00	70	-115.835278151258
7.00	75	-115.835278115712
7.00	80	-115.835278116726
7.00	85	-115.835278158942
7.00	90	-115.835278246898
7.00	95	-115.835278385057
7.00	100	-115.835278577678
7.00	105	-115.83527882881
7.00	110	-115.835279141962
7.00	115	-115.835279519899
7.00	120	-115.835279964068
7.00	125	-115.835280473984
7.00	130	-115.835281046376
7.00	135	-115.835281674272
7.00	140	-115.835282346152
7.00	145	-115.83528304505
7.00	150	-115.835283748396
7.00	155	-115.83528442818
7.00	160	-115.835285052141
7.00	165	-115.835285585905
7.00	170	-115.835285996264
7.00	175	-115.835286255135
7.00	180	-115.835286344268
7.20	0	-115.835279244652
7.20	5	-115.835279231473
7.20	10	-115.835279194313
7.20	15	-115.835279133974
7.20	20	-115.835279052804
7.20	25	-115.835278953899
7.20	30	-115.835278841035
7.20	35	-115.835278718422
7.20	40	-115.835278590624
7.20	45	-115.83527846239
7.20	50	-115.835278338531
7.20	55	-115.835278223834
7.20	60	-115.835278122957
7.20	65	-115.835278040468
7.20	70	-115.835277980776
7.20	75	-115.835277948135
7.20	80	-115.835277946665
7.20	85	-115.835277980368
7.20	90	-115.835278053142
7.20	95	-115.835278168747
7.20	100	-115.835278330789
7.20	105	-115.835278542576
7.20	110	-115.835278806949
7.20	115	-115.835279126049
7.20	120	-115.8352795008
7.20	125	-115.835279930466
7.20	130	-115.835280411931
7.20	135	-115.835280938935
7.20	140	-115.835281501349
7.20	145	-115.835282084609
7.20	150	-115.835282669595
7.20	155	-115.83528323283
7.20	160	-115.835283747733
7.20	165	-115.835284186497
7.20	170	-115.835284522642
7.20	175	-115.835284734141
7.20	180	-115.835284806978
7.40	0	-115.83527896603
7.40	5	-115.835278954614
7.40	10	-115.835278922636
7.40	15	-115.835278870669
7.40	20	-115.835278800749
7.40	25	-115.835278715475
7.40	30	-115.83527861807
7.40	35	-115.835278512104
7.40	40	-115.835278401486
7.40	45	-115.835278290264
7.40	50	-115.835278182571
7.40	55	-115.835278082513
7.40	60	-115.835277994142
7.40	65	-115.835277921369
7.40	70	-115.835277868017
7.40	75	-115.835277837773
7.40	80	-115.835277834218
7.40	85	-115.835277860796
7.40	90	-115.835277920873
7.40	95	-115.835278017645
7.40	100	-115.835278154158
7.40	105	-115.83527833315
7.40	110	-115.835278556945
7.40	115	-115.835278827121
7.40	120	-115.835279144304
7.40	125	-115.835279507589
7.40	130	-115.835279914011
7.40	135	-115.835280358025
7.40	140	-115.835280830805
7.40	145	-115.835281319894
7.40	150	-115.835281809105
7.40	155	-115.835282278828
7.40	160	-115.835282707077
7.40	165	-115.835283071027
7.40	170	-115.835283349236
7.40	175	-115.835283523992
7.40	180	-115.83528358422
7.60	0	-115.835278760923
7.60	5	-115.835278750977
7.60	10	-115.835278723305
7.60	15	-115.835278678325
7.60	20	-115.835278617753
7.60	25	-115.835278543835
7.60	30	-115.835278459302
7.60	35	-115.835278367201
7.60	40	-115.835278270887
7.60	45	-115.835278173867
7.60	50	-115.835278079686
7.60	55	-115.835277991856
7.60	60	-115.8352779139
7.60	65	-115.835277849253
7.60	70	-115.835277801187
7.60	75	-115.83527777293
7.60	80	-115.835277767594
7.60	85	-115.835277788174
7.60	90	-115.835277837563
7.60	95	-115.835277918544
7.60	100	-115.835278033647
7.60	105	-115.835278185182
7.60	110	-115.835278375025
7.60	115	-115.835278604403
7.60	120	-115.835278873648
7.60	125	-115.835279181759
7.60	130	-115.835279526012
7.60	135	-115.835279901416
7.60	140	-115.835280300326
7.60	145	-115.835280712094
7.60	150	-115.835281123007
7.60	155	-115.835281516617
7.60	160	-115.835281874687
7.60	165	-115.83528217839
7.60	170	-115.835282410163
7.60	175	-115.835282555575
7.60	180	-115.835282605759
7.80	0	-115.835278615186
7.80	5	-115.835278606442
7.80	10	-115.835278582369
7.80	15	-115.835278543223
7.80	20	-115.835278490467
7.80	25	-115.835278426019
7.80	30	-115.835278352216
7.80	35	-115.835278271729
7.80	40	-115.835278187396
7.80	45	-115.835278102246
7.80	50	-115.835278019343
7.80	55	-115.835277941762
7.80	60	-115.835277872548
7.80	65	-115.83527781467
7.80	70	-115.835277771019
7.80	75	-115.835277744421
7.80	80	-115.835277737559
7.80	85	-115.835277753072
7.80	90	-115.835277793462
7.80	95	-115.835277861112
7.80	100	-115.835277958196
7.80	105	-115.835278086658
7.80	110	-115.835278248011
7.80	115	-115.835278443199
7.80	120	-115.835278672352
7.80	125	-115.835278934437
7.80	130	-115.835279226936
7.80	135	-115.835279545393
7.80	140	-115.835279883187
7.80	145	-115.835280231128
7.80	150	-115.835280577608
7.80	155	-115.835280908829
7.80	160	-115.835281209543
7.80	165	-115.835281464144
7.80	170	-115.83528165818
7.80	175	-115.835281779787
7.80	180	-115.835281821845
8.00	0	-115.835278517409
8.00	5	-115.835278509691
8.00	10	-115.835278488612
8.00	15	-115.835278454341
8.00	20	-115.835278408142
8.00	25	-115.835278351622
8.00	30	-115.835278286853
8.00	35	-115.835278216074
8.00	40	-115.83527814179
8.00	45	-115.835278066604
8.00	50	-115.835277993179
8.00	55	-115.835277924213
8.00	60	-115.83527786233
8.00	65	-115.835277810172
8.00	70	-115.835277770232
8.00	75	-115.835277744995
8.00	80	-115.83527773684
8.00	85	-115.835277748039
8.00	90	-115.835277780795
8.00	95	-115.835277837178
8.00	100	-115.835277919042
8.00	105	-115.835278028047
8.00	110	-115.835278165402
8.00	115	-115.835278331843
8.00	120	-115.835278527338
8.00	125	-115.835278750879
8.00	130	-115.83527900014
8.00	135	-115.835279271181
8.00	140	-115.835279558159
8.00	145	-115.835279853227
8.00	150	-115.835280146471
8.00	155	-115.835280426265
8.00	160	-115.835280679809
8.00	165	-115.835280894155
8.00	170	-115.835281057291
8.00	175	-115.835281159453
8.00	180	-115.835281194864
8.20	0	-115.835278458403
8.20	5	-115.835278451543
8.20	10	-115.835278432996
8.20	15	-115.835278402834
8.20	20	-115.835278362116
8.20	25	-115.835278312294
8.20	30	-115.835278255104
8.20	35	-115.835278192519
8.20	40	-115.835278126701
8.20	45	-115.835278059926
8.20	50	-115.835277994506
8.20	55	-115.835277932802
8.20	60	-115.835277877122
8.20	65	-115.835277829765
8.20	70	-115.835277792959
8.20	75	-115.835277768871
8.20	80	-115.835277759593
8.20	85	-115.835277767138
8.20	90	-115.835277793425
8.20	95	-115.83527784025
8.20	100	-115.835277909235
8.20	105	-115.835278001739
8.20	110	-115.835278118803
8.20	115	-115.835278260987
8.20	120	-115.835278428145
8.20	125	-115.835278619287
8.20	130	-115.835278832296
8.20	135	-115.835279063644
8.20	140	-115.835279308269
8.20	145	-115.835279559345
8.20	150	-115.835279808436
8.20	155	-115.835280045647
8.20	160	-115.835280260283
8.20	165	-115.835280441448
8.20	170	-115.835280579175
8.20	175	-115.835280665351
8.20	180	-115.835280695302
8.40	0	-115.835278430749
8.40	5	-115.835278424599
8.40	10	-115.835278408207
8.40	15	-115.835278381508
8.40	20	-115.835278345443
8.40	25	-115.835278301267
8.40	30	-115.8352782505
8.40	35	-115.835278194836
8.40	40	-115.835278136205
8.40	45	-115.835278076526
8.40	50	-115.835278017906
8.40	55	-115.835277962355
8.40	60	-115.835277911935
8.40	65	-115.835277868671
8.40	70	-115.835277834518
8.40	75	-115.835277811411
8.40	80	-115.835277801181
8.40	85	-115.835277805612
8.40	90	-115.835277826388
8.40	95	-115.835277865099
8.40	100	-115.83527792312
8.40	105	-115.835278001636
8.40	110	-115.835278101501
8.40	115	-115.835278223121
8.40	120	-115.835278366321
8.40	125	-115.835278530147
8.40	130	-115.83527871264
8.40	135	-115.835278910686
8.40	140	-115.835279119834
8.40	145	-115.835279334183
8.40	150	-115.835279546495
8.40	155	-115.835279748365
8.40	160	-115.835279930713
8.40	165	-115.835280084435
8.40	170	-115.83528020116
8.40	175	-115.835280274151
8.40	180	-115.835280299593
8.60	0	-115.835278428453
8.60	5	-115.835278422928
8.60	10	-115.835278408351
8.60	15	-115.835278384576
8.60	20	-115.835278352469
8.60	25	-115.835278313082
8.60	30	-115.835278267771
8.60	35	-115.835278218001
8.60	40	-115.835278165461
8.60	45	-115.835278111859
8.60	50	-115.835278059001
8.60	55	-115.835278008713
8.60	60	-115.835277962788
8.60	65	-115.835277923007
8.60	70	-115.835277891131
8.60	75	-115.83527786886
8.60	80	-115.835277857825
8.60	85	-115.835277859615
8.60	90	-115.83527787571
8.60	95	-115.835277907487
8.60	100	-115.83527795618
8.60	105	-115.835278022773
8.60	110	-115.835278108009
8.60	115	-115.835278212162
8.60	120	-115.835278335042
8.60	125	-115.835278475729
8.60	130	-115.835278632446
8.60	135	-115.835278802439
8.60	140	-115.835278981771
8.60	145	-115.835279165335
8.60	150	-115.835279346904
8.60	155	-115.835279519267
8.60	160	-115.835279674772
8.60	165	-115.835279805682
