2.5 0.0 -78.69260605
2.6 0.0 -78.69610147
2.7 0.0 -78.6986919
2.8 0.0 -78.70057146
2.9 0.0 -78.7019237
3.0 0.0 -78.70287367
3.1 0.0 -78.70352967
3.2 0.0 -78.70397918
3.3 0.0 -78.70427682
3.4 0.0 -78.70446546
3.5 0.0 -78.70458853
3.6 0.0 -78.70466396
3.7 0.0 -78.70470774
3.8 0.0 -78.70473092
3.9 0.0 -78.704741
4.0 0.0 -78.70474306
4.1 0.0 -78.70474386
4.2 0.0 -78.70473813
4.3 0.0 -78.70473117
4.4 0.0 -78.70472389
4.5 0.0 -78.70471677
4.6 0.0 -78.70471009
4.7 0.0 -78.70470399
4.8 0.0 -78.70469852
4.9 0.0 -78.70469367
5.0 0.0 -78.7046894
5.1 0.0 -78.70468568
5.2 0.0 -78.70468241
5.3 0.0 -78.70467957
5.4 0.0 -78.70467709
5.5 0.0 -78.70467493
5.6 0.0 -78.70467305
5.7 0.0 -78.7046714
5.8 0.0 -78.70466996
5.9 0.0 -78.7046687
6.0 0.0 -78.7046676
6.1 0.0 -78.70466663
6.2 0.0 -78.70466577
6.3 0.0 -78.70466501
6.4 0.0 -78.70466434
6.5 0.0 -78.70466375
6.6 0.0 -78.70466322
6.7 0.0 -78.70466275
6.8 0.0 -78.70466233
6.9 0.0 -78.70466196
7.0 0.0 -78.70466162
7.1 0.0 -78.70466132
7.2 0.0 -78.70466105
7.3 0.0 -78.70466081
7.4 0.0 -78.70466059
7.5 0.0 -78.7046604
7.6 0.0 -78.70466022
7.7 0.0 -78.70466006
7.8 0.0 -78.70465991
7.9 0.0 -78.70465978
8.0 0.0 -78.70465965
8.1 0.0 -78.70465954
8.2 0.0 -78.70465944
8.3 0.0 -78.70465935
8.4 0.0 -78.70465927
8.5 0.0 -78.70465919
8.6 0.0 -78.70465912
8.7 0.0 -78.70465905
8.8 0.0 -78.70465899
8.9 0.0 -78.70465894
9.0 0.0 -78.70465889
9.1 0.0 -78.70465884
9.2 0.0 -78.7046588
9.3 0.0 -78.70465876
9.4 0.0 -78.70465872
9.5 0.0 -78.70465869
9.6 0.0 -78.70465866
9.7 0.0 -78.70465863
9.8 0.0 -78.7046586
9.9 0.0 -78.70465858
10.0 0.0 -78.70465855
10.1 0.0 -78.70465853
10.2 0.0 -78.70465851
10.3 0.0 -78.70465849
10.4 0.0 -78.70465848
10.5 0.0 -78.70465846
10.6 0.0 -78.70465844
10.7 0.0 -78.70465843
10.8 0.0 -78.70465842
10.9 0.0 -78.70465841
11.0 0.0 -78.70465839
11.1 0.0 -78.70465838
11.2 0.0 -78.70465837
11.3 0.0 -78.70465836
11.4 0.0 -78.70465835
11.5 0.0 -78.70465835
11.6 0.0 -78.70465834
11.7 0.0 -78.70465833
11.8 0.0 -78.70465832
11.9 0.0 -78.70465832
12.0 0.0 -78.70465831
12.1 0.0 -78.7046583
12.2 0.0 -78.7046583
12.3 0.0 -78.70465829
12.4 0.0 -78.70465829
  
2.5 1.0 -78.69262584
2.6 1.0 -78.69610829
2.7 1.0 -78.69869555
2.8 1.0 -78.70058128
2.9 1.0 -78.7019292
3.0 1.0 -78.70287569
3.1 1.0 -78.70353037
3.2 1.0 -78.7039796
3.3 1.0 -78.70427701
3.4 1.0 -78.70446555
3.5 1.0 -78.70458858
3.6 1.0 -78.70466397
3.7 1.0 -78.70470775
3.8 1.0 -78.70473091
3.9 1.0 -78.70474099
4.0 1.0 -78.70474305
4.1 1.0 -78.70474385
4.2 1.0 -78.70473812
4.3 1.0 -78.70473116
4.4 1.0 -78.70472388
4.5 1.0 -78.70471677
4.6 1.0 -78.70471009
4.7 1.0 -78.70470399
4.8 1.0 -78.70469852
4.9 1.0 -78.70469366
5.0 1.0 -78.70468939
5.1 1.0 -78.70468567
5.2 1.0 -78.70468241
5.3 1.0 -78.70467956
5.4 1.0 -78.70467709
5.5 1.0 -78.70467493
5.6 1.0 -78.70467304
5.7 1.0 -78.7046714
5.8 1.0 -78.70466996
5.9 1.0 -78.7046687
6.0 1.0 -78.7046676
6.1 1.0 -78.70466662
6.2 1.0 -78.70466577
6.3 1.0 -78.70466501
6.4 1.0 -78.70466434
6.5 1.0 -78.70466375
6.6 1.0 -78.70466322
6.7 1.0 -78.70466275
6.8 1.0 -78.70466233
6.9 1.0 -78.70466196
7.0 1.0 -78.70466162
7.1 1.0 -78.70466132
7.2 1.0 -78.70466105
7.3 1.0 -78.70466081
7.4 1.0 -78.70466059
7.5 1.0 -78.7046604
7.6 1.0 -78.70466022
7.7 1.0 -78.70466005
7.8 1.0 -78.70465991
7.9 1.0 -78.70465978
8.0 1.0 -78.70465965
8.1 1.0 -78.70465954
8.2 1.0 -78.70465944
8.3 1.0 -78.70465935
8.4 1.0 -78.70465927
8.5 1.0 -78.70465919
8.6 1.0 -78.70465912
8.7 1.0 -78.70465905
8.8 1.0 -78.70465899
8.9 1.0 -78.70465894
9.0 1.0 -78.70465889
9.1 1.0 -78.70465884
9.2 1.0 -78.7046588
9.3 1.0 -78.70465876
9.4 1.0 -78.70465872
9.5 1.0 -78.70465869
9.6 1.0 -78.70465866
9.7 1.0 -78.70465863
9.8 1.0 -78.7046586
9.9 1.0 -78.70465858
10.0 1.0 -78.70465855
10.1 1.0 -78.70465853
10.2 1.0 -78.70465851
10.3 1.0 -78.70465849
10.4 1.0 -78.70465848
10.5 1.0 -78.70465846
10.6 1.0 -78.70465844
10.7 1.0 -78.70465843
10.8 1.0 -78.70465842
10.9 1.0 -78.70465841
11.0 1.0 -78.70465839
11.1 1.0 -78.70465838
11.2 1.0 -78.70465837
11.3 1.0 -78.70465836
11.4 1.0 -78.70465835
11.5 1.0 -78.70465835
11.6 1.0 -78.70465834
11.7 1.0 -78.70465833
11.8 1.0 -78.70465832
11.9 1.0 -78.70465832
12.0 1.0 -78.70465831
12.1 1.0 -78.7046583
12.2 1.0 -78.7046583
12.3 1.0 -78.70465829
12.4 1.0 -78.70465829
  
2.5 2.0 -78.69266823
2.6 2.0 -78.69612862
2.7 2.0 -78.69870438
2.8 2.0 -78.70058651
2.9 2.0 -78.7019338
3.0 2.0 -78.70288109
3.1 2.0 -78.70353492
3.2 2.0 -78.70398024
3.3 2.0 -78.70427771
3.4 2.0 -78.70446581
3.5 2.0 -78.70458871
3.6 2.0 -78.70466403
3.7 2.0 -78.70470775
3.8 2.0 -78.7047309
3.9 2.0 -78.70474097
4.0 2.0 -78.70474301
4.1 2.0 -78.70474381
4.2 2.0 -78.70473808
4.3 2.0 -78.70473113
4.4 2.0 -78.70472386
4.5 2.0 -78.70471674
4.6 2.0 -78.70471007
4.7 2.0 -78.70470397
4.8 2.0 -78.7046985
4.9 2.0 -78.70469365
5.0 2.0 -78.70468938
5.1 2.0 -78.70468566
5.2 2.0 -78.7046824
5.3 2.0 -78.70467956
5.4 2.0 -78.70467708
5.5 2.0 -78.70467492
5.6 2.0 -78.70467304
5.7 2.0 -78.7046714
5.8 2.0 -78.70466996
5.9 2.0 -78.7046687
6.0 2.0 -78.70466759
6.1 2.0 -78.70466662
6.2 2.0 -78.70466577
6.3 2.0 -78.70466501
6.4 2.0 -78.70466434
6.5 2.0 -78.70466375
6.6 2.0 -78.70466322
6.7 2.0 -78.70466275
6.8 2.0 -78.70466233
6.9 2.0 -78.70466196
7.0 2.0 -78.70466162
7.1 2.0 -78.70466132
7.2 2.0 -78.70466105
7.3 2.0 -78.70466081
7.4 2.0 -78.70466059
7.5 2.0 -78.70466039
7.6 2.0 -78.70466022
7.7 2.0 -78.70466005
7.8 2.0 -78.70465991
7.9 2.0 -78.70465977
8.0 2.0 -78.70465965
8.1 2.0 -78.70465954
8.2 2.0 -78.70465944
8.3 2.0 -78.70465935
8.4 2.0 -78.70465927
8.5 2.0 -78.70465919
8.6 2.0 -78.70465912
8.7 2.0 -78.70465905
8.8 2.0 -78.70465899
8.9 2.0 -78.70465894
9.0 2.0 -78.70465889
9.1 2.0 -78.70465884
9.2 2.0 -78.7046588
9.3 2.0 -78.70465876
9.4 2.0 -78.70465872
9.5 2.0 -78.70465869
9.6 2.0 -78.70465866
9.7 2.0 -78.70465863
9.8 2.0 -78.7046586
9.9 2.0 -78.70465858
10.0 2.0 -78.70465855
10.1 2.0 -78.70465853
10.2 2.0 -78.70465851
10.3 2.0 -78.70465849
10.4 2.0 -78.70465848
10.5 2.0 -78.70465846
10.6 2.0 -78.70465844
10.7 2.0 -78.70465843
10.8 2.0 -78.70465842
10.9 2.0 -78.70465841
11.0 2.0 -78.70465839
11.1 2.0 -78.70465838
11.2 2.0 -78.70465837
11.3 2.0 -78.70465836
11.4 2.0 -78.70465835
11.5 2.0 -78.70465835
11.6 2.0 -78.70465834
11.7 2.0 -78.70465833
11.8 2.0 -78.70465832
11.9 2.0 -78.70465832
12.0 2.0 -78.70465831
12.1 2.0 -78.7046583
12.2 2.0 -78.7046583
12.3 2.0 -78.70465829
12.4 2.0 -78.70465829
  
2.5 3.0 -78.69273955
2.6 3.0 -78.69615551
2.7 3.0 -78.69871932
2.8 3.0 -78.70059509
2.9 3.0 -78.70193863
3.0 3.0 -78.70288439
3.1 3.0 -78.70353741
3.2 3.0 -78.70398173
3.3 3.0 -78.70427836
3.4 3.0 -78.70446633
3.5 3.0 -78.70458893
3.6 3.0 -78.70466412
3.7 3.0 -78.70470777
3.8 3.0 -78.70473087
3.9 3.0 -78.70474092
4.0 3.0 -78.70474296
4.1 3.0 -78.70474376
4.2 3.0 -78.70473803
4.3 3.0 -78.70473108
4.4 3.0 -78.70472381
4.5 3.0 -78.7047167
4.6 3.0 -78.70471003
4.7 3.0 -78.70470394
4.8 3.0 -78.70469848
4.9 3.0 -78.70469363
5.0 3.0 -78.70468937
5.1 3.0 -78.70468565
5.2 3.0 -78.70468239
5.3 3.0 -78.70467955
5.4 3.0 -78.70467707
5.5 3.0 -78.70467491
5.6 3.0 -78.70467303
5.7 3.0 -78.70467139
5.8 3.0 -78.70466995
5.9 3.0 -78.70466869
6.0 3.0 -78.70466759
6.1 3.0 -78.70466662
6.2 3.0 -78.70466576
6.3 3.0 -78.70466501
6.4 3.0 -78.70466434
6.5 3.0 -78.70466374
6.6 3.0 -78.70466322
6.7 3.0 -78.70466275
6.8 3.0 -78.70466233
6.9 3.0 -78.70466196
7.0 3.0 -78.70466162
7.1 3.0 -78.70466132
7.2 3.0 -78.70466105
7.3 3.0 -78.70466081
7.4 3.0 -78.70466059
7.5 3.0 -78.70466039
7.6 3.0 -78.70466022
7.7 3.0 -78.70466005
7.8 3.0 -78.70465991
7.9 3.0 -78.70465977
8.0 3.0 -78.70465965
8.1 3.0 -78.70465954
8.2 3.0 -78.70465944
8.3 3.0 -78.70465935
8.4 3.0 -78.70465927
8.5 3.0 -78.70465919
8.6 3.0 -78.70465912
8.7 3.0 -78.70465905
8.8 3.0 -78.70465899
8.9 3.0 -78.70465894
9.0 3.0 -78.70465889
9.1 3.0 -78.70465884
9.2 3.0 -78.7046588
9.3 3.0 -78.70465876
9.4 3.0 -78.70465872
9.5 3.0 -78.70465869
9.6 3.0 -78.70465866
9.7 3.0 -78.70465863
9.8 3.0 -78.7046586
9.9 3.0 -78.70465858
10.0 3.0 -78.70465855
10.1 3.0 -78.70465853
10.2 3.0 -78.70465851
10.3 3.0 -78.70465849
10.4 3.0 -78.70465848
10.5 3.0 -78.70465846
10.6 3.0 -78.70465844
10.7 3.0 -78.70465843
10.8 3.0 -78.70465842
10.9 3.0 -78.70465841
11.0 3.0 -78.70465839
11.1 3.0 -78.70465838
11.2 3.0 -78.70465837
11.3 3.0 -78.70465836
11.4 3.0 -78.70465835
11.5 3.0 -78.70465835
11.6 3.0 -78.70465834
11.7 3.0 -78.70465833
11.8 3.0 -78.70465832
11.9 3.0 -78.70465832
12.0 3.0 -78.70465831
12.1 3.0 -78.7046583
12.2 3.0 -78.7046583
12.3 3.0 -78.70465829
12.4 3.0 -78.70465829
  
2.5 4.0 -78.69283202
2.6 4.0 -78.69619402
2.7 4.0 -78.69873966
2.8 4.0 -78.70060631
2.9 4.0 -78.70194573
3.0 4.0 -78.70288878
3.1 4.0 -78.70354
3.2 4.0 -78.70398379
3.3 4.0 -78.70427963
3.4 4.0 -78.70446678
3.5 4.0 -78.7045893
3.6 4.0 -78.70466425
3.7 4.0 -78.70470779
3.8 4.0 -78.70473084
3.9 4.0 -78.70474086
4.0 4.0 -78.70474289
4.1 4.0 -78.70474367
4.2 4.0 -78.70473795
4.3 4.0 -78.70473101
4.4 4.0 -78.70472375
4.5 4.0 -78.70471665
4.6 4.0 -78.70470999
4.7 4.0 -78.7047039
4.8 4.0 -78.70469844
4.9 4.0 -78.7046936
5.0 4.0 -78.70468934
5.1 4.0 -78.70468563
5.2 4.0 -78.70468237
5.3 4.0 -78.70467953
5.4 4.0 -78.70467706
5.5 4.0 -78.7046749
5.6 4.0 -78.70467302
5.7 4.0 -78.70467138
5.8 4.0 -78.70466995
5.9 4.0 -78.70466869
6.0 4.0 -78.70466758
6.1 4.0 -78.70466661
6.2 4.0 -78.70466576
6.3 4.0 -78.704665
6.4 4.0 -78.70466433
6.5 4.0 -78.70466374
6.6 4.0 -78.70466321
6.7 4.0 -78.70466275
6.8 4.0 -78.70466233
6.9 4.0 -78.70466195
7.0 4.0 -78.70466162
7.1 4.0 -78.70466132
7.2 4.0 -78.70466105
7.3 4.0 -78.70466081
7.4 4.0 -78.70466059
7.5 4.0 -78.70466039
7.6 4.0 -78.70466021
7.7 4.0 -78.70466005
7.8 4.0 -78.70465991
7.9 4.0 -78.70465977
8.0 4.0 -78.70465965
8.1 4.0 -78.70465954
8.2 4.0 -78.70465944
8.3 4.0 -78.70465935
8.4 4.0 -78.70465927
8.5 4.0 -78.70465919
8.6 4.0 -78.70465912
8.7 4.0 -78.70465905
8.8 4.0 -78.70465899
8.9 4.0 -78.70465894
9.0 4.0 -78.70465889
9.1 4.0 -78.70465884
9.2 4.0 -78.7046588
9.3 4.0 -78.70465876
9.4 4.0 -78.70465872
9.5 4.0 -78.70465869
9.6 4.0 -78.70465866
