0,2,4,6
1256.895510711112,1025.1200589439088,109.64871258860833,136.07187046590957
887.2643542558878,793.5555137505634,102.55312732430849,58.351986685554834
611.0618141129447,581.2257053139376,78.97211885010346,25.4017496702217
411.09989404384777,411.87109055174204,57.09195230027456,10.88904043778125
269.369246418323,284.12895111491446,39.54223718702445,4.470996153360005
170.5221326761861,191.36538608184134,26.789918953877805,1.731778641972042
102.85214647106253,125.30274932738806,17.281852890102055,1.1725066429720687
57.45967131302238,79.82821684481246,10.750072634772065,0.33076584451863944
27.670771530589583,49.25176171898352,6.366982080791846,-0.04423132368901972
8.548032190013712,28.952350984087648,3.7927745086416564,0.006747995477152213
-3.3003283345249317,15.707746030746044,2.112041367829571,0.20576879705495743
-10.22374875661102,7.352154118388254,1.1235168383718805,0.2381400351781801
-13.847281329024232,2.4306090343292786,0.6343005235676641,-0.028438334437926927
-15.43718202507925,-0.5086449625374672,0.44443360771298224,-0.3422462220622581
-15.826502499355303,-2.502108952739143,0.18718594862590734,0.09365144150936583
-15.381420260006974,-3.517324882733827,-0.08299628902550563,0.2853662213413623
-14.467756152590516,-3.9042781233223307,-0.32760338560535357,-0.08537457705219442
-13.309372620837257,-3.843714395721493,-0.3069222874043645,-0.06643144192726791
-12.074003330453962,-3.607391342186959,-0.2700134739514907,-0.05026580768141703
-10.849276458436862,-3.2865051836859225,-0.22816129084053516,-0.040190879037395655
-9.685486164707438,-2.9362496820808444,-0.18547615773977855,-0.03225591088830221
-8.609418833766082,-2.5914314240718506,-0.14817005254087315,-0.026654166408351276
-7.631804709918036,-2.2673990073727204,-0.11559236186846997,-0.02121148607075002
-6.755325141861895,-1.9740656913120427,-0.0895680661644562,-0.01592091544526364
-5.97549099054149,-1.7140770144451793,-0.06919753294713157,-0.009383461104810337
-5.286103591899428,-1.4860588128920362,-0.05447428062139652,-0.005034789316656796
-4.678573341064097,-1.2878965578888857,-0.043774102866296946,-0.004302670228310518
-4.1448827298332755,-1.115845599587347,-0.034776707271552354,-0.0024649138693603467
-3.6763482656158017,-0.9678526841722492,-0.028288795163122354,-0.0015448083973065435
-3.2656601443562607,-0.8406549765977938,-0.02310707163377048,-0.0008745647957566355
-2.905490386659945,-0.731701062357993,-0.018518354089383397,-0.0006033157618671042
-2.5892114370578314,-0.6379914922471914,-0.015039124715566468,-0.00042998850265180133
-2.3115187948388427,-0.5575849204987701,-0.012534187393270092,-0.0003267021330991271
-2.0672497516000625,-0.48831980355038396,-0.010308175623021946,-0.00046002533805630796
-1.8521979847170713,-0.4288704975258894,-0.008646721317500931,-0.00020751268907098774
-1.662140563816354,-0.3775252364382975,-0.007530150470530728,-3.947878273397043e-05
-1.49436518663475,-0.3333220892555352,-0.006065698634873051,7.815539234437563e-05
-1.3457412791789762,-0.29453898659962285,-0.0052863484812455015,-0.0004246121246287149
-1.2139053547885743,-0.2611288538899753,-0.0046183497278819916,0.00014098498123161357
-1.0966747228279181,-0.2321881088266337,-0.0036430776761189557,-6.161358599356126e-06
