0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
127279.77470849262,6465.972561409253,-8.52963386036572,196431.7968009374,21490.956327889726,-11954.359419913882,12970.261088514533,733.4887523887155,-390.39435326028615,198.60085995905683,146683.52436559967,22593.354207944303,-17176.192548565014,20848.982632342704,4160.005125056561,-2141.3848430530443,1729.4432742729728,-1665.6573556244439,2098.6649588001865,62251.65317968442,18475.923725864897,-11975.928636054454,10765.318388085521,3300.626264929584,-2030.5696196541467,1518.0075988092176,-1172.3213743247125,974.3316396203918
92703.8711988999,4774.11481241354,-5.336704884106439,143904.15269739248,15704.316846402187,-8745.024667009398,9513.852911558548,533.2785127672578,-283.07417350473406,142.50334091975674,107921.02393198725,16475.25628785727,-12532.504420172048,15225.092872543293,3006.3834468713403,-1547.3266905928026,1249.21950089845,-1202.4921024765013,1514.183484114456,45925.522965544114,13460.559213318144,-8721.853428901484,7834.269194116234,2386.642899344286,-1468.4649817139825,1098.017026653638,-848.282826722043,705.6869330600111
67365.26601206869,3522.0248472552958,-3.1566222901656147,105279.43889482046,11434.89071165269,-6376.956663973768,6962.054666976255,386.76015253659716,-204.58815606720782,101.55011345106686,79339.66408305906,11988.157628152003,-9124.885261141075,11094.985919677092,2165.9099779462904,-1114.5693829369116,899.4697184681559,-865.2780911523075,1088.804539661532,33865.13952284309,9782.702045193164,-6337.743628522723,5690.760053255042,1720.474085742003,-1058.719479553014,791.8006337958477,-611.9313814283787,509.54916978887195
48820.94596149528,2595.647977292305,-1.6925957159273821,76902.33504972473,8288.363853205123,-4631.412243977904,5079.617598510897,279.6941347117827,-147.28726771393121,71.72861767172981,58276.31699497419,8701.335542252986,-6627.292659769215,8065.299796027308,1554.8118326615158,-799.95355659998,645.2681576576651,-620.2807420227532,779.8858757084538,24958.720009830962,7089.207666423032,-4593.3654969480285,4125.402117598365,1235.8798084390028,-760.6179501498891,568.96810547731,-439.8650802747561,366.60798459391026
35269.83413377681,1910.4892218111245,-0.7310368805865437,56074.28902636816,5972.619246278089,-3346.3732979484303,3692.332301581444,201.58993077994637,-105.53597332364825,50.08001258590593,42762.50142565907,6297.132127716428,-4799.196651729297,5845.714862835146,1111.5060804703826,-571.7535412876111,460.94416370128556,-442.70836064536,556.0945678819199,18383.75164160284,5119.604493238571,-3319.013690360117,2984.053206096545,884.1556746436745,-544.2217991658235,407.17024262341965,-314.8700706435493,262.65140228845667
25384.835510735644,1403.9535909560873,-0.11885060301619887,40803.84411338842,4271.26847636566,-2401.8482672270648,2671.2035037018377,144.72378971394664,-75.18483383519106,34.423782414171,31343.54349756747,4541.392782498188,-3463.2356634362395,4222.05275252038,790.7615365315719,-406.66885946112893,327.6464612919955,-314.35796554793103,394.4289888593196,13531.81619649881,3681.870337804938,-2389.66879169337,2153.3197872372693,629.5211243845724,-387.5351628185938,289.984939807774,-224.29447560468498,187.22751643167567
18188.698047353195,1029.671200279026,0.2531803652336748,29621.98394391911,3024.0381730683275,-1708.9816964501497,1920.7266582558095,103.41299440143393,-53.18079374714716,23.154115725074462,22944.75259863607,3261.612948417129,-2488.6962120145017,3036.3824938887574,559.389515382139,-287.6036695876502,231.5454379321659,-221.87787857114182,278.02114631698635,9952.935215871432,2634.5239132437077,-1713.2888952704907,1549.8492378020237,445.71508111098615,-274.41294999402,205.35651003205453,-158.84777040104336,132.65609861333678
12962.281515552495,753.2928749318189,0.46253386884950487,21445.58808627695,2112.2357810937883,-1201.9852264043002,1370.2032648084187,73.47978244809883,-37.27929163379213,15.089385242520166,16772.400678837148,2330.7868511359266,-1779.301061554993,2172.3113917291444,393.06439949651076,-202.02844491745668,162.5068631476808,-155.48602544767948,194.51558473263253,7314.369862553908,1873.388027013279,-1222.1587068849815,1112.4240698281365,313.4838916689944,-193.0171397779353,144.4439536297947,-111.71464857286924,93.29888794689282
9176.792419814201,549.3751920284321,0.5638014225401093,15476.483347816693,1447.9791017644193,-832.159047511594,967.3073504660792,51.85549035901022,-25.831655638165785,9.36090818206685,12240.463035663106,1655.4735051611387,-1264.184339327643,1544.111704630649,273.9788468853744,-140.7717652653269,113.11385742426177,-108.02485356400172,134.8741508918344,5370.123628127762,1321.8082086126792,-866.4995591691752,796.127047293387,218.72848570659266,-134.67813718956836,100.77137382916408,-77.90126745978739,65.02106136710336
6443.738863943697,399.07265703798316,0.5951326692492103,11126.827737126616,966.2148305586315,-563.4622320368849,673.319660682439,36.28834566509249,-17.628150728561877,5.330759149346704,8916.426076473077,1166.981312955078,-891.2236597535123,1088.6847229607429,189.11539210492572,-97.1297475570459,77.94603347683886,-74.26481861065878,92.49521122040161,3938.3694630876134,923.4267317743236,-609.7509577808935,568.0364786824834,151.13841941282817,-93.05530341563752,69.60156775087034,-53.7531531426996,44.79396225012147
