R,a1,a2,a3,E
3.8,0,90,30,-76.97797945
3.9,60,30,60,-76.97797867
3.7,90,60,0,-76.97797818
3.7,30,60,0,-76.97797818
3.7,30,60,180,-76.97797818
3.7,60,60,180,-76.97797818
3.7,60,60,0,-76.97797818
3.7,0,60,180,-76.97797818
3.7,0,60,0,-76.97797818
3.7,90,60,180,-76.97797818
3.8,30,0,60,-76.97797811
3.8,60,0,60,-76.97797811
3.8,0,0,60,-76.97797802
3.8,90,0,60,-76.97797802
4.0,30,30,60,-76.97797723
3.8,30,0,120,-76.97797691
3.8,60,0,120,-76.97797691
3.6,30,0,60,-76.97797683
3.6,60,0,60,-76.97797683
3.8,0,0,120,-76.97797681
3.8,90,0,120,-76.97797681
3.6,90,0,60,-76.97797673
3.6,0,0,60,-76.97797673
3.9,60,60,0,-76.97797621
3.9,0,60,0,-76.97797621
3.9,90,60,0,-76.97797621
3.9,90,60,180,-76.97797621
3.9,60,60,180,-76.97797621
3.9,0,60,180,-76.97797621
3.9,30,60,0,-76.97797621
3.9,30,60,180,-76.97797621
3.6,30,90,30,-76.97797614
3.6,30,90,150,-76.97797614
3.6,30,0,120,-76.97797565
3.6,60,0,120,-76.97797565
3.6,0,0,120,-76.97797555
3.6,90,0,120,-76.97797555
4.1,0,60,30,-76.97797334
3.9,90,30,90,-76.97797289
3.9,30,90,150,-76.97797222
3.9,30,90,30,-76.97797222
3.4,30,30,90,-76.97797123
4.2,60,90,0,-76.97797018
4.2,90,90,0,-76.97797018
4.2,30,90,0,-76.97797018
4.2,60,90,180,-76.97797018
4.2,0,90,180,-76.97797018
4.2,0,90,0,-76.97797018
4.2,90,90,180,-76.97797018
4.2,30,90,180,-76.97797018
3.5,90,90,30,-76.97796888
3.5,90,90,150,-76.97796888
3.9,60,30,90,-76.9779681
4.0,60,60,30,-76.97796802
4.0,90,90,30,-76.97796629999999
4.0,90,90,150,-76.97796629999999
4.1,30,60,30,-76.97796608
3.6,0,90,150,-76.97796606
3.6,0,90,30,-76.97796606
3.9,0,90,150,-76.97796546
3.9,0,90,30,-76.97796546
3.4,0,30,90,-76.97796398
4.1,90,0,90,-76.9779623
4.1,0,0,90,-76.9779623
4.1,60,0,90,-76.97796218
3.7,0,60,60,-76.97796201
4.0,60,90,150,-76.97796166
