2.00,0.00,-13343.3791378376135981
2.10,0.00,-4430.0689149866975640
2.20,0.00,-467.9663032125400832
2.30,0.00,1018.7343791035752929
2.40,0.00,1351.9542311901927860
2.50,0.00,1210.4148807805695469
2.60,0.00,923.2321542977102808
2.70,0.00,635.7412486805519620
2.80,0.00,401.1059282562021053
2.90,0.00,229.4950269064967188
3.00,0.00,113.4669207414240191
3.10,0.00,40.3409152500068444
3.20,0.00,-2.3180841187834744
3.30,0.00,-24.6939453790794801
3.40,0.00,-34.3496195863684761
3.50,0.00,-36.5338535764565790
3.60,0.00,-34.6919465629363231
3.70,0.00,-30.9684006016940430
3.80,0.00,-26.6222280902475177
3.90,0.00,-22.3390795615239881
4.00,0.00,-18.4511485627294007
4.10,0.00,-15.0843170819965735
4.20,0.00,-12.2521232261080115
4.30,0.00,-9.9129925674023411
4.40,0.00,-8.0032720252629304
4.50,0.00,-6.4550300612123124
4.60,0.00,-5.2047132515055239
4.70,0.00,-4.1966132525823241
4.80,0.00,-3.3835979024479457
4.90,0.00,-2.7265550489763655
5.00,0.00,-2.1933534006845292
5.10,0.00,-1.7577303320983475
5.20,0.00,-1.3982877691281317
5.30,0.00,-1.0976534531167346
5.40,0.00,-0.8418045303270247
5.50,0.00,-0.6195262839514868
5.60,0.00,-0.4219737824070648
5.70,0.00,-0.2423080014245329
5.80,0.00,-0.0753848153985288
5.90,0.00,0.0825178223475973
6.00,0.00,0.2339434806784269
6.20,0.00,0.5229389520158279
6.40,0.00,0.7961627554704478
6.60,0.00,1.0510950485068093
6.80,0.00,1.2820840524929231
7.00,0.00,1.4830461656476004
7.20,0.00,1.6490895257434701
7.40,0.00,1.7772931002152603
7.60,0.00,1.8668869510905104
7.80,0.00,1.9190557019061654
8.00,0.00,1.9365433790038882
8.20,0.00,1.9231885012064147
8.40,0.00,1.8834731017951007
8.60,0.00,1.8221329055977336
8.80,0.00,1.7438492815635342
9.00,0.00,1.6530259677345223
9.50,0.00,1.3959763304185318
10.00,0.00,1.1320664467407817
10.50,0.00,0.8898913745956538
11.00,0.00,0.6827516639627847
11.50,0.00,0.5139019124075330
12.00,0.00,0.3809589285390428
12.50,0.00,0.2789655590064208
13.00,0.00,0.2022553774056296
13.50,0.00,0.1454491643780541
14.00,0.00,0.1038972277958855
14.50,0.00,0.0738027399999545
15.00,0.00,0.0521812191545297
16.00,0.00,0.0257956893064435
17.00,0.00,0.0126079393244487
18.00,0.00,0.0061113221072981
19.00,0.00,0.0029441128460859
20.00,0.00,0.0014117958329358
21.00,0.00,0.0006746466358416
22.00,0.00,0.0003215359692504
23.00,0.00,0.0001529333326877
24.00,0.00,0.0000726270518541
25.00,0.00,0.0000344487619483
50.00,0.00,0.0000000000002514
100.00,0.00,0.0000000000000000
2.00,5.00,-13681.5610554487975605
2.10,5.00,-4635.4681979784436407
2.20,5.00,-593.4784710201047346
2.30,5.00,941.5114784822482079
2.40,5.00,1304.1126846885913437
2.50,5.00,1180.5969250851458128
2.60,5.00,904.5729819629721078
2.70,5.00,624.0559400499530511
2.80,5.00,393.8159364390402288
2.90,5.00,224.9923461508548144
3.00,5.00,110.7363944951609938
3.10,5.00,38.7344986841432046
3.20,5.00,-3.2175851450548407
3.30,5.00,-25.1562680527220550
3.40,5.00,-34.5489684513468092
3.50,5.00,-36.5818632642566399
3.60,5.00,-34.6590217733448185
3.70,5.00,-30.8977769095114354
3.80,5.00,-26.5393624531571959
3.90,5.00,-22.2579709349460018
4.00,5.00,-18.3785969463809522
4.10,5.00,-15.0227755693561846
4.20,5.00,-12.2015807352585455
4.30,5.00,-9.8721874768685609
4.40,5.00,-7.9704465477963993
4.50,5.00,-6.4283735757446152
4.60,5.00,-5.1825995376186427
4.70,5.00,-4.1777055287711278
4.80,5.00,-3.3668730500059496
4.90,5.00,-2.7112820334291854
5.00,5.00,-2.1790490721971878
5.10,5.00,-1.7441073436469168
5.20,5.00,-1.3852034391891124
5.30,5.00,-1.0850643646620455
5.40,5.00,-0.8297289969841728
5.50,5.00,-0.6080151407956862
5.60,5.00,-0.4110889786599472
5.70,5.00,-0.2321079645153361
5.80,5.00,-0.0659153577214582
5.90,5.00,0.0912282882339497
6.00,5.00,0.2418855478961746
6.20,5.00,0.5293875931441150
6.40,5.00,0.8012706093508299
6.60,5.00,1.0550856790512952
6.80,5.00,1.2852059510503402
7.00,5.00,1.4855379900097780
7.20,5.00,1.6511585515238245
7.40,5.00,1.7791051455523430
7.60,5.00,1.8685647072065308
7.80,5.00,1.9206823733543192
8.00,5.00,1.9381690892494969
8.20,5.00,1.9248376315961178
8.40,5.00,1.8851513924841115
8.60,5.00,1.8238336709685363
8.80,5.00,1.7455584656248222
9.00,5.00,1.6547260055287607
9.50,5.00,1.3975761897302887
10.00,5.00,1.1334821635233654
10.50,5.00,0.8910830432638341
11.00,5.00,0.6837161540299629
11.50,5.00,0.5146590027867122
12.00,5.00,0.3815391333128699
12.50,5.00,0.2794018613050776
13.00,5.00,0.2025785516912187
13.50,5.00,0.1456856543768897
14.00,5.00,0.1040685881207799
14.50,5.00,0.0739259106972338
15.00,5.00,0.0522691656166227
16.00,5.00,0.0258398303672531
17.00,5.00,0.0126297499386723
18.00,5.00,0.0061219785540908
19.00,5.00,0.0029492768968945
20.00,5.00,0.0014142831162947
21.00,5.00,0.0006758391923286
22.00,5.00,0.0003221057857411
23.00,5.00,0.0001532048835936
24.00,5.00,0.0000727562021783
25.00,5.00,0.0000345100915229
50.00,5.00,0.0000000000002519
100.00,5.00,0.0000000000000000
