R	Gamma	E
5.10	150	-16.725262
5.10	155	-20.937692
5.10	160	-25.435027
5.10	165	-29.779382
5.10	170	-33.43718
5.10	175	-35.888244
5.10	180	-36.751988
5.20	0	-1.528798
5.20	5	-1.515626
5.20	10	-1.477106
5.20	15	-1.414853
5.20	20	-1.331662
5.20	25	-1.231226
5.20	30	-1.117923
5.20	35	-0.996631
5.20	40	-0.872519
5.20	45	-0.750888
5.20	50	-0.637035
5.20	55	-0.536191
5.20	60	-0.453468
5.20	65	-0.39389
5.20	70	-0.36242
5.20	75	-0.364097
5.20	80	-0.404069
5.20	85	-0.487779
5.20	90	-0.621065
5.20	95	-0.8104
5.20	100	-1.063264
5.20	105	-1.388979
5.20	110	-1.800373
5.20	115	-2.316837
5.20	120	-2.968945
5.20	125	-3.804199
5.20	130	-4.891532
5.20	135	-6.32042
5.20	140	-8.188936
5.20	145	-10.576794
5.20	150	-13.504225
5.20	155	-16.887156
5.20	160	-20.50633
5.20	165	-24.011125
5.20	170	-26.968609
5.20	175	-28.953609
5.20	180	-29.653709
5.30	0	-1.169375
5.30	5	-1.15702
5.30	10	-1.120902
5.30	15	-1.062499
5.30	20	-0.984394
5.30	25	-0.889992
5.30	30	-0.783351
5.30	35	-0.668989
5.30	40	-0.5517
5.30	45	-0.436406
5.30	50	-0.328029
5.30	55	-0.231406
5.30	60	-0.151261
5.30	65	-0.092209
5.30	70	-0.058788
5.30	75	-0.055548
5.30	80	-0.08712
5.30	85	-0.158324
5.30	90	-0.274315
5.30	95	-0.440693
5.30	100	-0.663797
5.30	105	-0.95125
5.30	110	-1.313084
5.30	115	-1.763882
5.30	120	-2.326158
5.30	125	-3.03477
5.30	130	-3.940725
5.30	135	-5.111257
5.30	140	-6.621601
5.30	145	-8.534751
5.30	150	-10.869377
5.30	155	-13.563261
5.30	160	-16.446667
5.30	165	-19.242874
5.30	170	-21.60625
5.30	175	-23.194526
5.30	180	-23.755159
5.40	0	-0.850104
5.40	5	-0.83853
5.40	10	-0.804707
5.40	15	-0.750003
5.40	20	-0.676796
5.40	25	-0.58824
5.40	30	-0.4881
5.40	35	-0.380559
5.40	40	-0.270073
5.40	45	-0.16121
5.40	50	-0.058533
5.40	55	0.033478
5.40	60	0.110455
5.40	65	0.168156
5.40	70	0.202428
5.40	75	0.209144
5.40	80	0.184132
5.40	85	0.123082
5.40	90	0.021449
5.40	95	-0.125665
5.40	100	-0.323686
5.40	105	-0.578919
5.40	110	-0.899277
5.40	115	-1.295756
5.40	120	-1.784782
5.40	125	-2.391484
5.40	130	-3.15276
5.40	135	-4.117788
5.40	140	-5.342566
5.40	145	-6.875009
5.40	150	-8.730498
5.40	155	-10.862759
5.40	160	-13.141674
5.40	165	-15.351764
5.40	170	-17.22104
5.40	175	-18.478277
5.40	180	-18.92227
5.50	0	-0.565119
5.50	5	-0.554299
5.50	10	-0.522705
5.50	15	-0.471588
5.50	20	-0.403148
5.50	25	-0.320309
5.50	30	-0.226551
5.50	35	-0.125761
5.50	40	-0.022062
5.50	45	0.080314
5.50	50	0.17713
5.50	55	0.264244
5.50	60	0.337624
5.50	65	0.393354
5.50	70	0.427639
5.50	75	0.436726
5.50	80	0.416841
5.50	85	0.364116
5.50	90	0.274519
5.50	95	0.143739
5.50	100	-0.032907
5.50	105	-0.260697
5.50	110	-0.545977
5.50	115	-0.897052
5.50	120	-1.325859
5.50	125	-1.850215
5.50	130	-2.496177
5.50	135	-3.298722
5.50	140	-4.298124
5.50	145	-5.529341
5.50	150	-7.003634
5.50	155	-8.686091
5.50	160	-10.477493
5.50	165	-12.211929
5.50	170	-13.678273
5.50	175	-14.664554
5.50	180	-15.012964
5.60	0	-0.310008
5.60	5	-0.299922
5.60	10	-0.27049
5.60	15	-0.222856
5.60	20	-0.159062
5.60	25	-0.081807
5.60	30	0.005694
5.60	35	0.099843
5.60	40	0.196825
5.60	45	0.292715
5.60	50	0.383607
5.60	55	0.465653
5.60	60	0.535139
5.60	65	0.588469
5.60	70	0.622157
5.60	75	0.632773
5.60	80	0.616897
5.60	85	0.571058
5.60	90	0.491646
5.60	95	0.374852
5.60	100	0.216601
5.60	105	0.01241
5.60	110	-0.242861
5.60	115	-0.555582
5.60	120	-0.934395
5.60	125	-1.391741
5.60	130	-1.945564
5.60	135	-2.619949
5.60	140	-3.44277
5.60	145	-4.438238
5.60	150	-5.613419
5.60	155	-6.941213
5.60	160	-8.346102
5.60	165	-9.701439
5.60	170	-10.845212
5.60	175	-11.61389
5.60	180	-11.885368
5.70	0	-0.081322
5.70	5	-0.071943
5.70	10	-0.044605
5.70	15	-0.000346
5.70	20	0.058945
5.70	25	0.130782
5.70	30	0.212197
5.70	35	0.299865
5.70	40	0.390257
5.70	45	0.479757
5.70	50	0.564742
5.70	55	0.641672
5.70	60	0.707117
5.70	65	0.757762
5.70	70	0.790407
5.70	75	0.801924
5.70	80	0.789201
5.70	85	0.749106
5.70	90	0.678393
5.70	95	0.573683
5.70	100	0.431393
5.70	105	0.247683
5.70	110	0.018317
5.70	115	-0.261658
5.70	120	-0.598501
5.70	125	-1.000802
5.70	130	-1.480574
5.70	135	-2.053754
5.70	140	-2.738748
5.70	145	-3.551148
5.70	150	-4.494215
5.70	155	-5.546156
5.70	160	-6.649243
5.70	165	-7.707332
5.70	170	-8.597188
5.70	175	-9.194131
5.70	180	-9.404833
5.80	0	0.123728
5.80	5	0.132429
5.80	10	0.157758
5.80	15	0.198775
5.80	20	0.25374
5.80	25	0.320362
5.80	30	0.395901
5.80	35	0.477307
5.80	40	0.561316
5.80	45	0.644587
5.80	50	0.723787
5.80	55	0.795647
5.80	60	0.857003
5.80	65	0.904805
5.80	70	0.936117
5.80	75	0.948068
5.80	80	0.937834
5.80	85	0.902565
5.80	90	0.839345
5.80	95	0.745153
5.80	100	0.616827
5.80	105	0.451037
5.80	110	0.244233
5.80	115	-0.007487
5.80	120	-0.308715
5.80	125	-0.665292
5.80	130	-1.084994
5.80	135	-1.577868
5.80	140	-2.155223
5.80	145	-2.826119
5.80	150	-3.590506
5.80	155	-4.430189
5.80	160	-5.300658
5.80	165	-6.128981
5.80	170	-6.822052
5.80	175	-7.285612
5.80	180	-7.449032
5.90	0	0.307494
5.90	5	0.315543
5.90	10	0.338963
5.90	15	0.376892
5.90	20	0.42773
5.90	25	0.48938
5.90	30	0.559314
5.90	35	0.63472
5.90	40	0.712603
5.90	45	0.789889
5.90	50	0.863494
5.90	55	0.930414
5.90	60	0.987727
5.90	65	1.032632
5.90	70	1.062425
5.90	75	1.074484
5.90	80	1.066217
5.90	85	1.035042
5.90	90	0.978326
5.90	95	0.893357
5.90	100	0.777325
5.90	105	0.627311
5.90	110	0.440316
5.90	115	0.213185
5.90	120	-0.057474
5.90	125	-0.375599
5.90	130	-0.746011
5.90	135	-1.174577
5.90	140	-1.667525
5.90	145	-2.229023
5.90	150	-2.856472
5.90	155	-3.534094
5.90	160	-4.227069
5.90	165	-4.879908
5.90	170	-5.422424
5.90	175	-5.783782
5.90	180	-5.910966
6.00	0	0.47202
6.00	5	0.479462
6.00	10	0.501074
6.00	15	0.536082
6.00	20	0.583021
6.00	25	0.639966
6.00	30	0.70459
6.00	35	0.774311
6.00	40	0.846382
6.00	45	0.917962
6.00	50	0.986222
6.00	55	1.04839
6.00	60	1.101776
6.00	65	1.143807
6.00	70	1.171991
6.00	75	1.183915
6.00	80	1.177222
6.00	85	1.149551
6.00	90	1.098519
6.00	95	1.021682
6.00	100	0.91653
6.00	105	0.780497
6.00	110	0.611
6.00	115	0.405453
6.00	120	0.1613
6.00	125	-0.124084
6.00	130	-0.453502
6.00	135	-0.829958
6.00	140	-1.256125
6.00	145	-1.732697
6.00	150	-2.255202
6.00	155	-2.809551
6.00	160	-3.367993
6.00	165	-3.887973
6.00	170	-4.316502
6.00	175	-4.600445
6.00	180	-4.700148
6.20	0	0.750465
6.20	5	0.756799
6.20	10	0.775143
6.20	15	0.804865
6.20	20	0.844739
6.20	25	0.893143
6.20	30	0.948124
6.20	35	1.007514
6.20	40	1.068984
6.20	45	1.130147
6.20	50	1.188602
6.20	55	1.242003
6.20	60	1.288074
6.20	65	1.324617
6.20	70	1.349539
6.20	75	1.360792
6.20	80	1.356398
6.20	85	1.334381
6.20	90	1.292767
6.20	95	1.229558
6.20	100	1.142732
6.20	105	1.03026
6.20	110	0.890179
6.20	115	0.720664
6.20	120	0.520176
6.20	125	0.287582
6.20	130	0.022287
6.20	135	-0.275556
6.20	140	-0.604692
6.20	145	-0.961952
6.20	150	-1.340828
6.20	155	-1.72953
6.20	160	-2.109224
6.20	165	-2.453796
6.20	170	-2.732303
6.20	175	-2.914481
6.20	180	-2.978099
6.40	0	0.971698
6.40	5	0.977082
6.40	10	0.99262
6.40	15	1.0178
6.40	20	1.051598
6.40	25	1.092654
6.40	30	1.139335
6.40	35	1.189809
6.40	40	1.242121
6.40	45	1.294258
6.40	50	1.344188
6.40	55	1.389926
6.40	60	1.429538
6.40	65	1.461164
6.40	70	1.48301
6.40	75	1.493356
6.40	80	1.490519
6.40	85	1.472834
6.40	90	1.438661
6.40	95	1.386346
6.40	100	1.314234
6.40	105	1.220704
6.40	110	1.104219
6.40	115	0.963432
6.40	120	0.797348
6.40	125	0.605501
6.40	130	0.388208
6.40	135	0.146809
6.40	140	-0.115987
6.40	145	-0.395671
6.40	150	-0.68531
6.40	155	-0.974778
6.40	160	-1.250245
6.40	165	-1.494388
6.40	170	-1.687974
6.40	175	-1.812928
6.40	180	-1.856303
6.60	0	1.146243
6.60	5	1.150825
6.60	10	1.16399
6.60	15	1.18533
6.60	20	1.213994
6.60	25	1.248834
6.60	30	1.288483
6.60	35	1.331401
6.60	40	1.375944
6.60	45	1.420406
6.60	50	1.463074
6.60	55	1.502259
6.60	60	1.536319
6.60	65	1.56367
6.60	70	1.582787
6.60	75	1.592201
6.60	80	1.590472
6.60	85	1.576206
6.60	90	1.548014
6.60	95	1.504517
6.60	100	1.444359
6.60	105	1.366222
6.60	110	1.26889
6.60	115	1.151344
6.60	120	1.012905
6.60	125	0.853425
6.60	130	0.673537
6.60	135	0.474918
6.60	140	0.26056
6.60	145	0.035096
6.60	150	-0.194949
6.60	155	-0.420935
6.60	160	-0.63209
6.60	165	-0.815963
6.60	170	-0.959586
6.60	175	-1.051278
6.60	180	-1.082963
6.80	0	1.282869
6.80	5	1.28678
6.80	10	1.297958
6.80	15	1.316089
6.80	20	1.340451
6.80	25	1.37009
6.80	30	1.403849
6.80	35	1.440435
6.80	40	1.47845
6.80	45	1.516461
6.80	50	1.553019
6.80	55	1.586677
6.80	60	1.616041
6.80	65	1.639758
6.80	70	1.656519
6.80	75	1.665066
6.80	80	1.664183
6.80	85	1.652666
6.80	90	1.629348
6.80	95	1.59307
6.80	100	1.542707
6.80	105	1.477186
6.80	110	1.395533
6.80	115	1.296969
6.80	120	1.181028
6.80	125	1.04772
6.80	130	0.897765
6.80	135	0.73282
6.80	140	0.55573
6.80	145	0.370727
6.80	150	0.183586
6.80	155	0.001625
6.80	160	-0.166489
6.80	165	-0.311255
6.80	170	-0.423211
6.80	175	-0.494161
6.80	180	-0.518611
7.00	0	1.388804
7.00	5	1.392156
7.00	10	1.401681
7.00	15	1.417147
7.00	20	1.437927
7.00	25	1.463235
7.00	30	1.492088
7.00	35	1.523386
7.00	40	1.555964
7.00	45	1.588592
7.00	50	1.620036
7.00	55	1.649067
7.00	60	1.674495
7.00	65	1.695156
7.00	70	1.709922
7.00	75	1.717724
7.00	80	1.717501
7.00	85	1.708236
7.00	90	1.688932
7.00	95	1.658609
7.00	100	1.616334
7.00	105	1.561217
7.00	110	1.492488
7.00	115	1.40954
7.00	120	1.312057
7.00	125	1.200143
7.00	130	1.074518
7.00	135	0.93671
7.00	140	0.78925
7.00	145	0.635859
7.00	150	0.481493
7.00	155	0.332297
7.00	160	0.195354
7.00	165	0.078206
7.00	170	-0.011857
7.00	175	-0.068673
7.00	180	-0.088235
7.20	0	1.46995
7.20	5	1.472843
7.20	10	1.480998
7.20	15	1.494241
7.20	20	1.512056
7.20	25	1.533763
7.20	30	1.558534
7.20	35	1.585444
7.20	40	1.613493
7.20	45	1.641637
7.20	50	1.668821
7.20	55	1.693994
7.20	60	1.716134
7.20	65	1.734238
7.20	70	1.747339
7.20	75	1.754503
7.20	80	1.754825
7.20	85	1.747428
7.20	90	1.731456
7.20	95	1.706084
7.20	100	1.67052
7.20	105	1.624038
7.20	110	1.566015
7.20	115	1.495981
7.20	120	1.413732
7.20	125	1.319431
7.20	130	1.213762
7.20	135	1.098098
7.20	140	0.974662
7.20	145	0.846652
7.20	150	0.718262
7.20	155	0.594646
7.20	160	0.481638
7.20	165	0.385341
7.20	170	0.311565
7.20	175	0.265147
7.20	180	0.249161
7.40	0	1.531101
7.40	5	1.533606
7.40	10	1.540624
7.40	15	1.55203
7.40	20	1.567376
7.40	25	1.586091
7.40	30	1.607469
7.40	35	1.630726
7.40	40	1.655004
7.40	45	1.679414
7.40	50	1.70305
7.40	55	1.72501
7.40	60	1.744405
7.40	65	1.760377
7.40	70	1.772087
7.40	75	1.778724
7.40	80	1.779505
7.40	85	1.773671
7.40	90	1.760486
7.40	95	1.739247
7.40	100	1.709286
7.40	105	1.670002
7.40	110	1.620884
7.40	115	1.561588
7.40	120	1.491974
7.40	125	1.412242
7.40	130	1.323043
7.40	135	1.225593
7.40	140	1.12183
7.40	145	1.014487
7.40	150	0.907118
7.40	155	0.804026
7.40	160	0.710036
7.40	165	0.630158
7.40	170	0.569098
7.40	175	0.530744
7.40	180	0.517525
7.60	0	1.576116
7.60	5	1.578299
7.60	10	1.584373
7.60	15	1.594245
7.60	20	1.607539
7.60	25	1.623762
7.60	30	1.642315
7.60	35	1.662528
7.60	40	1.683667
7.60	45	1.70496
7.60	50	1.725631
7.60	55	1.744907
7.60	60	1.762016
7.60	65	1.776205
7.60	70	1.786754
7.60	75	1.792956
7.60	80	1.794127
7.60	85	1.78961
7.60	90	1.77877
7.60	95	1.760997
7.60	100	1.735735
7.60	105	1.702477
7.60	110	1.660811
7.60	115	1.610469
7.60	120	1.551376
7.60	125	1.483754
7.60	130	1.408199
7.60	135	1.325807
7.60	140	1.238257
7.60	145	1.147884
7.60	150	1.057699
7.60	155	0.971312
7.60	160	0.892724
7.60	165	0.826069
7.60	170	0.775201
7.60	175	0.743287
7.60	180	0.732273
7.80	0	1.608102
7.80	5	1.610021
7.80	10	1.615304
7.80	15	1.623896
7.80	20	1.635475
7.80	25	1.649619
7.80	30	1.665817
7.80	35	1.683482
7.80	40	1.701991
7.80	45	1.720679
7.80	50	1.738874
7.80	55	1.755901
7.80	60	1.771092
7.80	65	1.783795
7.80	70	1.793375
7.80	75	1.799213
7.80	80	1.800719
7.80	85	1.797314
7.80	90	1.78845
7.80	95	1.773602
7.80	100	1.752295
7.80	105	1.7241
7.80	110	1.688688
7.80	115	1.645849
7.80	120	1.595555
7.80	125	1.538034
7.80	130	1.473838
7.80	135	1.403945
7.80	140	1.329808
7.80	145	1.253444
7.80	150	1.1774
7.80	155	1.104706
7.80	160	1.038706
7.80	165	0.982828
7.80	170	0.940242
7.80	175	0.913552
7.80	180	0.904322
8.00	0	1.629562
8.00	5	1.631255
8.00	10	1.635882
8.00	15	1.643403
8.00	20	1.653543
8.00	25	1.665948
8.00	30	1.680163
8.00	35	1.695697
8.00	40	1.712
8.00	45	1.728502
8.00	50	1.744617
8.00	55	1.759753
8.00	60	1.773335
8.00	65	1.784782
8.00	70	1.793548
8.00	75	1.799087
8.00	80	1.800877
8.00	85	1.798419
8.00	90	1.79123
8.00	95	1.778855
8.00	100	1.760888
8.00	105	1.736964
8.00	110	1.706818
8.00	115	1.670289
8.00	120	1.627382
8.00	125	1.578321
8.00	130	1.523614
8.00	135	1.464128
8.00	140	1.401143
8.00	145	1.336383
8.00	150	1.272024
8.00	155	1.210616
8.00	160	1.15497
8.00	165	1.107926
8.00	170	1.072122
8.00	175	1.0497
8.00	180	1.041928
8.20	0	1.642512
8.20	5	1.644017
8.20	10	1.648088
8.20	15	1.654708
8.20	20	1.663644
8.20	25	1.674579
8.20	30	1.687131
8.20	35	1.700867
8.20	40	1.715312
8.20	45	1.729967
8.20	50	1.744325
8.20	55	1.757868
8.20	60	1.770088
8.20	65	1.780482
8.20	70	1.78856
8.20	75	1.793847
8.20	80	1.795883
8.20	85	1.794227
8.20	90	1.788458
8.20	95	1.778181
8.20	100	1.76304
8.20	105	1.742738
8.20	110	1.717045
8.20	115	1.68584
8.20	120	1.649153
8.20	125	1.607202
8.20	130	1.560452
8.20	135	1.509677
8.20	140	1.455988
8.20	145	1.400883
8.20	150	1.346214
8.20	155	1.294152
8.20	160	1.247045
8.20	165	1.207284
8.20	170	1.177056
8.20	175	1.158143
8.20	180	1.151569
8.40	0	1.648581
8.40	5	1.649931
8.40	10	1.653529
8.40	15	1.659388
8.40	20	1.667304
8.40	25	1.676999
8.40	30	1.688141
8.40	35	1.700358
8.40	40	1.713226
8.40	45	1.726324
8.40	50	1.73919
8.40	55	1.751382
8.40	60	1.762448
8.40	65	1.771943
8.40	70	1.779439
8.40	75	1.78451
8.40	80	1.786755
8.40	85	1.785783
8.40	90	1.781223
8.40	95	1.772727
8.40	100	1.759993
8.40	105	1.742761
8.40	110	1.720843
8.40	115	1.69415
8.40	120	1.662721
8.40	125	1.626766
8.40	130	1.586713
8.40	135	1.543247
8.40	140	1.497345
8.40	145	1.4503
8.40	150	1.403703
8.40	155	1.359398
8.40	160	1.319377
8.40	165	1.285639
8.40	170	1.260021
8.40	175	1.244001
8.40	180	1.238417
8.60	0	1.649085
8.60	5	1.650298
8.60	10	1.653497
8.60	15	1.658715
8.60	20	1.665762
8.60	25	1.674406
8.60	30	1.684351
8.60	35	1.695274
8.60	40	1.706805
8.60	45	1.718569
8.60	50	1.73017
8.60	55	1.741207
8.60	60	1.751287
8.60	65	1.760018
8.60	70	1.767014
8.60	75	1.771902
8.60	80	1.774323
8.60	85	1.773931
8.60	90	1.770398
8.60	95	1.763424
8.60	100	1.752737
8.60	105	1.738122
8.60	110	1.719414
8.60	115	1.696555
8.60	120	1.669586
8.60	125	1.638709
8.60	130	1.604314
8.60	135	1.567005
8.60	140	1.527646
8.60	145	1.487358
8.60	150	1.447508
8.60	155	1.409679
8.60	160	1.37555
8.60	165	1.346818
8.60	170	1.32502
8.60	175	1.311403
8.60	180	1.306636
8.80	0	1.645088
8.80	5	1.646185
8.80	10	1.649051
8.80	15	1.653713
8.80	20	1.660021
8.80	25	1.667765
8.80	30	1.676693
8.80	35	1.686511
8.80	40	1.696901
8.80	45	1.707526
8.80	50	1.718039
8.80	55	1.728092
8.80	60	1.737325
8.80	65	1.745396
8.80	70	1.751962
8.80	75	1.756688
8.80	80	1.759255
8.80	85	1.759356
8.80	90	1.756704
8.80	95	1.751028
8.80	100	1.742089
8.80	105	1.729703
8.80	110	1.713743
8.80	115	1.694146
8.80	120	1.670973
8.80	125	1.644408
8.80	130	1.614805
8.80	135	1.582705
8.80	140	1.548863
8.80	145	1.514258
8.80	150	1.480079
8.80	155	1.447665
8.80	160	1.418464
8.80	165	1.393908
8.80	170	1.375293
8.80	175	1.363671
8.80	180	1.359584
9.00	0	1.637463
9.00	5	1.638463
9.00	10	1.641035
9.00	15	1.645227
9.00	20	1.650905
9.00	25	1.657879
9.00	30	1.665929
9.00	35	1.674798
9.00	40	1.684203
9.00	45	1.693856
9.00	50	1.703434
9.00	55	1.712634
9.00	60	1.72114
9.00	65	1.728637
9.00	70	1.734826
9.00	75	1.739411
9.00	80	1.742103
9.00	85	1.742623
9.00	90	1.740716
9.00	95	1.736152
9.00	100	1.728712
9.00	105	1.718236
9.00	110	1.704619
9.00	115	1.687812
9.00	120	1.667879
9.00	125	1.644988
9.00	130	1.619462
9.00	135	1.591781
9.00	140	1.562613
9.00	145	1.532811
9.00	150	1.503403
9.00	155	1.475546
9.00	160	1.450477
9.00	165	1.429415
9.00	170	1.413466
9.00	175	1.403515
9.00	180	1.399996
9.50	0	1.606861
9.50	5	1.607671
9.50	10	1.60968
9.50	15	1.612958
9.50	20	1.617407
9.50	25	1.622888
9.50	30	1.629234
9.50	35	1.636261
9.50	40	1.643756
9.50	45	1.651494
9.50	50	1.659245
9.50	55	1.666774
9.50	60	1.673841
9.50	65	1.68021
9.50	70	1.685649
9.50	75	1.689928
9.50	80	1.692828
9.50	85	1.694141
9.50	90	1.693661
9.50	95	1.69122
9.50	100	1.686663
9.50	105	1.679866
9.50	110	1.670756
9.50	115	1.659315
9.50	120	1.645595
9.50	125	1.629737
9.50	130	1.611988
9.50	135	1.592713
9.50	140	1.572402
9.50	145	1.551672
9.50	150	1.531244
9.50	155	1.511934
9.50	160	1.494591
9.50	165	1.480052
9.50	170	1.469056
9.50	175	1.4622
9.50	180	1.459739
10.00	0	1.56567
10.00	5	1.566346
10.00	10	1.567956
10.00	15	1.570592
10.00	20	1.574169
10.00	25	1.578592
10.00	30	1.583736
10.00	35	1.589451
10.00	40	1.595582
10.00	45	1.601954
10.00	50	1.608396
10.00	55	1.61472
10.00	60	1.620743
10.00	65	1.626281
10.00	70	1.631149
10.00	75	1.635172
10.00	80	1.638178
10.00	85	1.639999
10.00	90	1.640484
10.00	95	1.639495
10.00	100	1.636913
10.00	105	1.63265
10.00	110	1.626656
10.00	115	1.618911
10.00	120	1.60947
10.00	125	1.598444
10.00	130	1.586019
10.00	135	1.572475
10.00	140	1.558176
10.00	145	1.54357
10.00	150	1.529183
10.00	155	1.515593
10.00	160	1.503403
10.00	165	1.49319
10.00	170	1.485476
10.00	175	1.480673
10.00	180	1.478906
10.50	0	1.518805
10.50	5	1.519382
10.50	10	1.520706
10.50	15	1.522871
10.50	20	1.525823
10.50	25	1.529477
10.50	30	1.533742
10.50	35	1.5385
10.50	40	1.543629
10.50	45	1.549001
10.50	50	1.55447
10.50	55	1.559895
10.50	60	1.565133
10.50	65	1.570037
10.50	70	1.574451
10.50	75	1.578247
10.50	80	1.58128
10.50	85	1.583423
10.50	90	1.58455
10.50	95	1.584554
10.50	100	1.58334
10.50	105	1.580841
10.50	110	1.577017
10.50	115	1.571859
10.50	120	1.565404
10.50	125	1.557745
10.50	130	1.549028
10.50	135	1.53946
10.50	140	1.529312
10.50	145	1.518926
10.50	150	1.508684
10.50	155	1.499006
10.50	160	1.490323
10.50	165	1.483052
10.50	170	1.477565
10.50	175	1.474148
10.50	180	1.472853
11.00	0	1.469309
11.00	5	1.469815
11.00	10	1.470924
11.00	15	1.472745
11.00	20	1.475223
11.00	25	1.4783
11.00	30	1.481909
11.00	35	1.485951
11.00	40	1.49033
11.00	45	1.49494
11.00	50	1.499673
11.00	55	1.504411
11.00	60	1.509035
11.00	65	1.513434
11.00	70	1.517483
11.00	75	1.521066
11.00	80	1.524075
11.00	85	1.526407
11.00	90	1.527956
11.00	95	1.528632
11.00	100	1.528369
11.00	105	1.527106
11.00	110	1.524808
11.00	115	1.52147
11.00	120	1.517131
11.00	125	1.511855
11.00	130	1.505751
11.00	135	1.498982
11.00	140	1.491758
11.00	145	1.484327
11.00	150	1.476982
11.00	155	1.470023
11.00	160	1.463779
11.00	165	1.45855
11.00	170	1.4546
11.00	175	1.452139
11.00	180	1.45117
11.50	0	1.419072
11.50	5	1.419524
11.50	10	1.42047
11.50	15	1.422025
11.50	20	1.424148
11.50	25	1.426788
11.50	30	1.429891
11.50	35	1.433381
11.50	40	1.437178
11.50	45	1.441204
11.50	50	1.445358
11.50	55	1.449555
11.50	60	1.453693
11.50	65	1.457676
11.50	70	1.46141
11.50	75	1.4648
11.50	80	1.46775
11.50	85	1.470176
11.50	90	1.47199
11.50	95	1.473125
11.50	100	1.473516
11.50	105	1.473122
11.50	110	1.471907
11.50	115	1.469874
11.50	120	1.467038
11.50	125	1.463461
11.50	130	1.459224
11.50	135	1.454454
11.50	140	1.449314
11.50	145	1.443986
11.50	150	1.438693
11.50	155	1.433664
11.50	160	1.429142
11.50	165	1.425351
11.50	170	1.422482
11.50	175	1.420699
11.50	180	1.419958
12.00	0	1.369267
12.00	5	1.369675
12.00	10	1.370495
12.00	15	1.371843
12.00	20	1.373688
12.00	25	1.375989
12.00	30	1.378696
12.00	35	1.381751
12.00	40	1.385094
12.00	45	1.388648
12.00	50	1.392343
12.00	55	1.396102
12.00	60	1.399841
12.00	65	1.403481
12.00	70	1.406944
12.00	75	1.410148
12.00	80	1.413013
12.00	85	1.41547
12.00	90	1.417448
12.00	95	1.418886
12.00	100	1.419727
12.00	105	1.41994
12.00	110	1.419497
12.00	115	1.41839
12.00	120	1.416644
12.00	125	1.414293
12.00	130	1.411404
12.00	135	1.408079
12.00	140	1.404437
12.00	145	1.400627
12.00	150	1.39681
12.00	155	1.393171
12.00	160	1.389884
12.00	165	1.387119
12.00	170	1.385029
12.00	175	1.383724
12.00	180	1.383149
12.50	0	1.320608
12.50	5	1.320981
12.50	10	1.321703
12.50	15	1.322885
12.50	20	1.32451
12.50	25	1.326536
12.50	30	1.328928
12.50	35	1.331639
12.50	40	1.334612
12.50	45	1.337787
12.50	50	1.341108
12.50	55	1.344504
12.50	60	1.347912
12.50	65	1.351259
12.50	70	1.354481
12.50	75	1.357509
12.50	80	1.360278
12.50	85	1.362721
12.50	90	1.364785
12.50	95	1.366413
12.50	100	1.367563
12.50	105	1.368204
12.50	110	1.368306
12.50	115	1.367868
12.50	120	1.366906
12.50	125	1.365444
12.50	130	1.363541
12.50	135	1.361265
12.50	140	1.358721
12.50	145	1.356015
12.50	150	1.353275
12.50	155	1.350643
12.50	160	1.348255
12.50	165	1.346238
12.50	170	1.344707
12.50	175	1.343753
12.50	180	1.343296
13.00	0	1.273514
13.00	5	1.273862
13.00	10	1.274503
13.00	15	1.275553
13.00	20	1.276997
13.00	25	1.278802
13.00	30	1.280941
13.00	35	1.283366
13.00	40	1.286035
13.00	45	1.288901
13.00	50	1.291909
13.00	55	1.295001
13.00	60	1.298125
13.00	65	1.301219
13.00	70	1.304226
13.00	75	1.307089
13.00	80	1.30975
13.00	85	1.312153
13.00	90	1.31425
13.00	95	1.315994
13.00	100	1.317347
13.00	105	1.318281
13.00	110	1.318773
13.00	115	1.318817
13.00	120	1.318423
13.00	125	1.317612
13.00	130	1.316429
13.00	135	1.314929
13.00	140	1.313186
13.00	145	1.311293
13.00	150	1.309346
13.00	155	1.307456
13.00	160	1.305728
13.00	165	1.30426
13.00	170	1.303146
13.00	175	1.302446
13.00	180	1.302073
13.50	0	1.228222
13.50	5	1.228548
13.50	10	1.229119
13.50	15	1.230062
13.50	20	1.231357
13.50	25	1.232983
13.50	30	1.234906
13.50	35	1.237098
13.50	40	1.239515
13.50	45	1.242121
13.50	50	1.244862
13.50	55	1.247699
13.50	60	1.250577
13.50	65	1.253452
13.50	70	1.256264
13.50	75	1.258971
13.50	80	1.26152
13.50	85	1.263862
13.50	90	1.265957
13.50	95	1.267764
13.50	100	1.269243
13.50	105	1.270378
13.50	110	1.271143
13.50	115	1.271532
13.50	120	1.271551
13.50	125	1.271219
13.50	130	1.270562
13.50	135	1.269635
13.50	140	1.268491
13.50	145	1.267199
13.50	150	1.265843
13.50	155	1.2645
13.50	160	1.263262
13.50	165	1.262203
13.50	170	1.261393
13.50	175	1.260885
13.50	180	1.26058
14.00	0	1.184837
14.00	5	1.185145
14.00	10	1.18566
14.00	15	1.186515
14.00	20	1.187686
14.00	25	1.189156
14.00	30	1.190904
14.00	35	1.192898
14.00	40	1.195102
14.00	45	1.197483
14.00	50	1.200002
14.00	55	1.202614
14.00	60	1.205282
14.00	65	1.207954
14.00	70	1.210591
14.00	75	1.213151
14.00	80	1.21559
14.00	85	1.21786
14.00	90	1.219926
14.00	95	1.221753
14.00	100	1.223313
