R	Gamma	E
2.70	65	75.797287
2.70	70	50.499039
2.70	75	28.696176
2.70	80	9.187688
2.70	85	-8.882732
2.70	90	-25.808456
2.70	95	-41.05462
2.70	100	-52.933005
2.70	105	-58.220144
2.70	110	-51.664854
2.70	115	-25.309425
2.70	120	32.422986
2.70	125	137.723511
2.70	130	312.106584
2.70	135	582.199946
2.70	140	976.972095
2.70	145	1519.710823
2.70	150	2216.000484
2.70	155	3047.628585
2.70	160	3974.807002
2.70	165	4931.738516
2.70	170	5811.093576
2.70	175	6456.220763
2.70	180	6697.6494
2.80	0	435.886987
2.80	5	428.607409
2.80	10	407.538347
2.80	15	374.84337
2.80	20	333.647353
2.80	25	287.50002
2.80	30	239.835286
2.80	35	193.547142
2.80	40	150.758229
2.80	45	112.744792
2.80	50	80.015739
2.80	55	52.45086
2.80	60	29.485609
2.80	65	10.271513
2.80	70	-6.175379
2.80	75	-20.857099
2.80	80	-34.675896
2.80	85	-48.305946
2.80	90	-62.035156
2.80	95	-75.561276
2.80	100	-87.753278
2.80	105	-96.379187
2.80	110	-97.791202
2.80	115	-86.497887
2.80	120	-54.551591
2.80	125	9.175886
2.80	130	119.489707
2.80	135	294.58587
2.80	140	554.232773
2.80	145	914.68726
2.80	150	1379.576509
2.80	155	1932.29482
2.80	160	2537.660826
2.80	165	3145.836955
2.80	170	3687.990291
2.80	175	4074.135081
2.80	180	4215.782923
2.90	0	236.612881
2.90	5	232.106872
2.90	10	219.068332
2.90	15	198.827733
2.90	20	173.32537
2.90	25	144.765092
2.90	30	115.284065
2.90	35	86.689499
2.90	40	60.304967
2.90	45	36.919979
2.90	50	16.827838
2.90	55	-0.090551
2.90	60	-14.255895
2.90	65	-26.285786
2.90	70	-36.901344
2.90	75	-46.844551
2.90	80	-56.798688
2.90	85	-67.297234
2.90	90	-78.606913
2.90	95	-90.582276
2.90	100	-102.487259
2.90	105	-112.802534
2.90	110	-119.021565
2.90	115	-117.403033
2.90	120	-102.596055
2.90	125	-67.124053
2.90	130	-0.979127
2.90	135	108.156722
2.90	140	273.581511
2.90	145	506.454738
2.90	150	809.851197
2.90	155	1171.769934
2.90	160	1563.994376
2.90	165	1948.121226
2.90	170	2279.579809
2.90	175	2508.771808
2.90	180	2591.377888
3.00	0	113.60628
3.00	5	110.875439
3.00	10	102.972066
3.00	15	90.708583
3.00	20	75.266868
3.00	25	57.997312
3.00	30	40.210308
3.00	35	23.01514
3.00	40	7.218219
3.00	45	-6.71173
3.00	50	-18.628539
3.00	55	-28.656089
3.00	60	-37.122835
3.00	65	-44.492735
3.00	70	-51.303875
3.00	75	-58.111219
3.00	80	-65.432375
3.00	85	-73.684091
3.00	90	-83.102804
3.00	95	-93.640489
3.00	100	-104.837988
3.00	105	-115.684864
3.00	110	-124.486335
3.00	115	-128.729058
3.00	120	-124.882484
3.00	125	-108.066032
3.00	130	-71.700538
3.00	135	-7.58678
3.00	140	93.115839
3.00	145	237.850639
3.00	150	429.161963
3.00	155	659.774575
3.00	160	909.841759
3.00	165	1150.844037
3.00	170	1352.679184
3.00	175	1487.945526
3.00	180	1535.745176
3.10	0	39.915191
3.10	5	38.309574
3.10	10	33.666258
3.10	15	26.469064
3.10	20	17.426271
3.10	25	7.346921
3.10	30	-2.981866
3.10	35	-12.897685
3.10	40	-21.928025
3.10	45	-29.814948
3.10	50	-36.50996
3.10	55	-42.142314
3.10	60	-46.977865
3.10	65	-51.373694
3.10	70	-55.735609
3.10	75	-60.479731
3.10	80	-65.995072
3.10	85	-72.601851
3.10	90	-80.499625
3.10	95	-89.697751
3.10	100	-99.927142
3.10	105	-110.540269
3.10	110	-120.419594
3.10	115	-127.908936
3.10	120	-130.730446
3.10	125	-125.80579
3.10	130	-108.984139
3.10	135	-74.977116
3.10	140	-17.992665
3.10	145	66.818433
3.10	150	181.292485
3.10	155	321.473277
3.10	160	475.128493
3.10	165	623.031978
3.10	170	744.792516
3.10	175	824.332367
3.10	180	851.925982
3.20	0	-2.190907
3.20	5	-3.090165
3.20	10	-5.687962
3.20	15	-9.702521
3.20	20	-14.721589
3.20	25	-20.274597
3.20	30	-25.90523
3.20	35	-31.235677
3.20	40	-36.007211
3.20	45	-40.099645
3.20	50	-43.527064
3.20	55	-46.420169
3.20	60	-48.998613
3.20	65	-51.540087
3.20	70	-54.351687
3.20	75	-57.743487
3.20	80	-62.004233
3.20	85	-67.375247
3.20	90	-74.018867
3.20	95	-81.975368
3.20	100	-91.104364
3.20	105	-101.015024
3.20	110	-111.00171
3.20	115	-120.006204
3.20	120	-126.601074
3.20	125	-128.924035
3.20	130	-124.502378
3.20	135	-110.1069
3.20	140	-82.057375
3.20	145	-37.23708
3.20	150	25.548941
3.20	155	104.178549
3.20	160	191.872232
3.20	165	277.246816
3.20	170	347.521382
3.20	175	392.922978
3.20	180	408.493135
3.30	0	-24.347013
3.30	5	-24.810284
3.30	10	-26.144017
3.30	15	-28.19114
3.30	20	-30.722347
3.30	25	-33.476569
3.30	30	-36.205186
3.30	35	-38.709773
3.30	40	-40.868165
3.30	45	-42.64606
3.30	50	-44.095864
3.30	55	-45.343536
3.30	60	-46.570498
3.30	65	-47.992771
3.30	70	-49.841218
3.30	75	-52.344314
3.30	80	-55.712952
3.30	85	-60.126025
3.30	90	-65.712892
3.30	95	-72.528802
3.30	100	-80.519484
3.30	105	-89.474101
3.30	110	-98.979201
3.30	115	-108.396219
3.30	120	-116.871199
3.30	125	-123.34018
3.30	130	-126.447159
3.30	135	-124.390707
3.30	140	-114.981907
3.30	145	-96.252809
3.30	150	-67.432341
3.30	155	-29.690808
3.30	160	13.466966
3.30	165	56.228318
3.30	170	91.782895
3.30	175	114.774689
3.30	180	122.633253
3.40	0	-34.168042
3.40	5	-34.368353
3.40	10	-34.940197
3.40	15	-35.802153
3.40	20	-36.836089
3.40	25	-37.910311
3.40	30	-38.904383
3.40	35	-39.731151
3.40	40	-40.352719
3.40	45	-40.786264
3.40	50	-41.102755
3.40	55	-41.418092
3.40	60	-41.880305
3.40	65	-42.655487
3.40	70	-43.914968
3.40	75	-45.824662
3.40	80	-48.53673
3.40	85	-52.182227
3.40	90	-56.863735
3.40	95	-62.64317
3.40	100	-69.522484
3.40	105	-77.414681
3.40	110	-86.112735
3.40	115	-95.272123
3.40	120	-104.42714
3.40	125	-113.027426
3.40	130	-120.426696
3.40	135	-125.771003
3.40	140	-127.918455
3.40	145	-125.701107
3.40	150	-118.571419
3.40	155	-107.110041
3.40	160	-92.986406
3.40	165	-78.615214
3.40	170	-66.61074
3.40	175	-58.921364
3.40	180	-56.324801
3.50	0	-36.627951
3.50	5	-36.675988
3.50	10	-36.807429
3.50	15	-36.985842
3.50	20	-37.160019
3.50	25	-37.276025
3.50	30	-37.290665
3.50	35	-37.183563
3.50	40	-36.965302
3.50	45	-36.680468
3.50	50	-36.405282
3.50	55	-36.241379
3.50	60	-36.30685
3.50	65	-36.727374
3.50	70	-37.628135
3.50	75	-39.128114
3.50	80	-41.336017
3.50	85	-44.34831
3.50	90	-48.24691
3.50	95	-53.095948
3.50	100	-58.932895
3.50	105	-65.753971
3.50	110	-73.494033
3.50	115	-82.014252
3.50	120	-91.113791
3.50	125	-100.570797
3.50	130	-110.169471
3.50	135	-119.644027
3.50	140	-128.556223
3.50	145	-136.31548
3.50	150	-142.508926
3.50	155	-147.263232
3.50	160	-151.143377
3.50	165	-154.651504
3.50	170	-157.84096
3.50	175	-160.246889
3.50	180	-161.166654
3.60	0	-34.962383
3.60	5	-34.928598
3.60	10	-34.823841
3.60	15	-34.637878
3.60	20	-34.358295
3.60	25	-33.976109
3.60	30	-33.492378
3.60	35	-32.92369
3.60	40	-32.305842
3.60	45	-31.694315
3.60	50	-31.161743
3.60	55	-30.79343
3.60	60	-30.68141
3.60	65	-30.919035
3.60	70	-31.596708
3.60	75	-32.79895
3.60	80	-34.603806
3.60	85	-37.083053
3.60	90	-40.303822
3.60	95	-44.329476
3.60	100	-49.218765
3.60	105	-55.020584
3.60	110	-61.76447
3.60	115	-69.45221
3.60	120	-78.064517
3.60	125	-87.591315
3.60	130	-98.069717
3.60	135	-109.568893
3.60	140	-122.083229
3.60	145	-135.427196
3.60	150	-149.306068
3.60	155	-163.508849
3.60	160	-177.852717
3.60	165	-191.751108
3.60	170	-203.863338
3.60	175	-212.299343
3.60	180	-215.344593
3.70	0	-31.249927
3.70	5	-31.178109
3.70	10	-30.964228
3.70	15	-30.612431
3.70	20	-30.131277
3.70	25	-29.535837
3.70	30	-28.849944
3.70	35	-28.107966
3.70	40	-27.355679
3.70	45	-26.649041
3.70	50	-26.052298
3.70	55	-25.634296
3.70	60	-25.465373
3.70	65	-25.613871
3.70	70	-26.144587
3.70	75	-27.117898
3.70	80	-28.590488
3.70	85	-30.617356
3.70	90	-33.25459
3.70	95	-36.563368
3.70	100	-40.61297
3.70	105	-45.483068
3.70	110	-51.262097
3.70	115	-58.044541
3.70	120	-65.933404
3.70	125	-75.057656
3.70	130	-85.601663
3.70	135	-97.807518
3.70	140	-111.90123
3.70	145	-127.950136
3.70	150	-145.77151
3.70	155	-164.950744
3.70	160	-184.798212
3.70	165	-204.073605
3.70	170	-220.741539
3.70	175	-232.244702
3.70	180	-236.372911
3.80	0	-26.786897
3.80	5	-26.70313
3.80	10	-26.455989
3.80	15	-26.056349
3.80	20	-25.522703
3.80	25	-24.880946
3.80	30	-24.16424
3.80	35	-23.412811
3.80	40	-22.67292
3.80	45	-21.99558
3.80	50	-21.434467
3.80	55	-21.04374
3.80	60	-20.876098
3.80	65	-20.981521
3.80	70	-21.406574
3.80	75	-22.195068
3.80	80	-23.38935
3.80	85	-25.032812
3.80	90	-27.173531
3.80	95	-29.868793
3.80	100	-33.191305
3.80	105	-37.235245
3.80	110	-42.121793
3.80	115	-48.00163
3.80	120	-55.056909
3.80	125	-63.50785
3.80	130	-73.62561
3.80	135	-85.734138
3.80	140	-100.158085
3.80	145	-117.091267
3.80	150	-136.434384
3.80	155	-157.685544
3.80	160	-179.858153
3.80	165	-201.334305
3.80	170	-219.769553
3.80	175	-232.407165
3.80	180	-236.925622
3.90	0	-22.336078
3.90	5	-22.254838
3.90	10	-22.016031
3.90	15	-21.632976
3.90	20	-21.127306
3.90	25	-20.527711
3.90	30	-19.868727
3.90	35	-19.18945
3.90	40	-18.531877
3.90	45	-17.939425
3.90	50	-17.455274
3.90	55	-17.121251
3.90	60	-16.97671
3.90	65	-17.058286
3.90	70	-17.400094
3.90	75	-18.034855
3.90	80	-18.995401
3.90	85	-20.317112
3.90	90	-22.041432
3.90	95	-24.220988
3.90	100	-26.926447
3.90	105	-30.25572
3.90	110	-34.343719
3.90	115	-39.370013
3.90	120	-45.5629
3.90	125	-53.199656
3.90	130	-62.604213
3.90	135	-74.136157
3.90	140	-88.14555
3.90	145	-104.86346
3.90	150	-124.230611
3.90	155	-145.725021
3.90	160	-168.233906
3.90	165	-189.971285
3.90	170	-208.50966
3.90	175	-221.138664
3.90	180	-225.637717
4.00	0	-18.299924
4.00	5	-18.227995
4.00	10	-18.017168
4.00	15	-17.680532
4.00	20	-17.238995
4.00	25	-16.719741
4.00	30	-16.154466
4.00	35	-15.57772
4.00	40	-15.02513
4.00	45	-14.532108
4.00	50	-14.132685
4.00	55	-13.858808
4.00	60	-13.740027
4.00	65	-13.803746
4.00	70	-14.075741
4.00	75	-14.581349
4.00	80	-15.346945
4.00	85	-16.402156
4.00	90	-17.782928
4.00	95	-19.536312
4.00	100	-21.727841
4.00	105	-24.45171
4.00	110	-27.843352
4.00	115	-32.091501
4.00	120	-37.445387
4.00	125	-44.213134
4.00	130	-52.748895
4.00	135	-63.427373
4.00	140	-76.593307
4.00	145	-92.46596
4.00	150	-110.986856
4.00	155	-131.637954
4.00	160	-153.291016
4.00	165	-174.14757
4.00	170	-191.843146
4.00	175	-203.834939
4.00	180	-208.093562
4.10	0	-14.846073
4.10	5	-14.785665
4.10	10	-14.60885
4.10	15	-14.327289
4.10	20	-13.959371
4.10	25	-13.528733
4.10	30	-13.062417
4.10	35	-12.589229
4.10	40	-12.138218
4.10	45	-11.737554
4.10	50	-11.413783
4.10	55	-11.191381
4.10	60	-11.092924
4.10	65	-11.139483
4.10	70	-11.351292
4.10	75	-11.748801
4.10	80	-12.353888
4.10	85	-13.191761
4.10	90	-14.293456
4.10	95	-15.70029
4.10	100	-17.470644
4.10	105	-19.690637
