R	0.0	30.0	60.0	90.0	120.0	150.0	180.0
13.5	1.228222	1.234906	1.250577	1.265957	1.271551	1.265843	1.26058
14.0	1.184837	1.190904	1.205282	1.219926	1.226487	1.223274	1.219518
14.5	1.143396	1.14894	1.162192	1.176127	1.183318	1.181972	1.17935
15.0	1.103873	1.10897	1.121241	1.134492	1.142073	1.142116	1.140351
16.0	1.030369	1.034731	1.045371	1.057349	1.065222	1.067064	1.066458
17.0	0.96373	0.967529	0.976858	0.987694	0.995469	0.99829	0.99836
18.0	0.903275	0.906621	0.914878	0.924696	0.932175	0.935491	0.935954
19.0	0.848322	0.851299	0.858663	0.86758	0.874674	0.878196	0.878884
20.0	0.798404	0.801025	0.807531	0.815646	0.822311	0.825881	0.826689
21.0	0.752931	0.755185	0.76082	0.76828	0.774473	0.778243	0.779239
22.0	0.710888	0.712961	0.718123	0.724762	0.730706	0.734416	0.735463
23.0	0.672264	0.674177	0.678918	0.685037	0.690555	0.694052	0.69505
24.0	0.636678	0.638449	0.642814	0.648462	0.653594	0.656881	0.657826
25.0	0.603798	0.605442	0.609472	0.614695	0.61947	0.62256	0.62345
50.0	0.202078	0.202571	0.203544	0.204831	0.206062	0.206926	0.207097
100.0	-0.001223	-0.001005	-0.000775	-0.000463	-0.000163	5.5e-05	-0.0
