E (cm-1),0->2	,E (cm-1),0->4	,E (cm-1),2->4	,E (cm-1),4->6	
15.85,1.9128,46.3,0.08423362,46.3,1.35542,,
15.9,1.94581,46.4,0.08466379,46.4,1.36124,,
15.95,1.98499,46.5,0.08505402,46.5,1.36643,,
16.0,2.03028,46.6,0.08540597,46.6,1.37101,,
16.05,2.08165,46.7,0.08572246,46.7,1.37499,,
16.1,2.13907,46.8,0.086007,46.8,1.37843,,
16.15,2.20247,46.9,0.0862636,46.9,1.38136,,
16.2,2.27177,47.0,0.0864967,47.0,1.38386,,
16.25,2.34684,47.1,0.08671073,47.1,1.38598,,
16.3,2.42749,47.2,0.08691023,47.2,1.38781,,
16.35,2.51346,47.3,0.08709956,47.3,1.3894,,
16.4,2.60437,47.4,0.08728275,47.4,1.39083,,
16.45,2.69977,47.5,0.08746373,47.5,1.39217,,
16.5,2.79904,47.6,0.08764592,47.6,1.39346,,
16.55,2.90145,47.7,0.08783242,47.7,1.39478,,
16.6,3.00611,47.8,0.08802601,47.8,1.39616,,
16.65,3.11197,47.9,0.08822895,47.9,1.39764,,
16.7,3.21785,48.0,0.08844328,48.0,1.39928,,
16.75,3.3224,48.1,0.08867053,48.1,1.40108,,
16.8,3.42421,48.2,0.08891187,48.2,1.40309,,
16.85,3.52176,48.3,0.08916823,48.3,1.40532,,
16.9,3.61353,48.4,0.08944006,48.4,1.40778,,
16.95,3.69802,48.5,0.08972756,48.5,1.41048,,
17.0,3.77386,48.6,0.09003065,48.6,1.41342,,
17.05,3.83979,48.7,0.09034888,48.7,1.41659,,
17.1,3.89482,48.8,0.09068164,48.8,1.42,,
17.15,3.9382,48.9,0.09102802,48.9,1.42364,,
17.2,3.96948,49.0,0.09138687,49.0,1.42748,,
17.25,3.98853,49.1,0.091757,49.1,1.4315,,
17.3,3.99556,49.2,0.09213695,49.2,1.4357,,
17.35,3.99103,49.3,0.09252518,49.3,1.44005,,
17.4,3.97568,49.4,0.09292017,49.4,1.44452,,
17.45,3.95046,49.5,0.09332025,49.5,1.44909,,
