E (cm-1),2->0	,E (cm-1),4->0	,E (cm-1),6->0	,E (cm-1),8->0	
0.029399999999998983,5.12579,0.09799999999999898,0.155678,0.05580000000000496,0.06634013,0.9527999999999963,0.0007542606
0.07939999999999969,2.50902,0.1980000000000004,0.09407666,0.15579999999999927,0.02849229,1.9527999999999963,0.001454008
0.1294000000000004,1.66139,0.2980000000000018,0.07729528,0.2558000000000078,0.0217106,2.9527999999999963,0.0006848201
0.17939999999999934,1.33846,0.39799999999999613,0.06915504,0.3558000000000021,0.01895595,3.9527999999999963,0.001029113
0.22940000000000005,1.17622,0.49799999999999756,0.06413254,0.45580000000001064,0.01740386,4.952799999999996,0.0007525564
0.279399999999999,1.07694,0.597999999999999,0.06069375,0.555800000000005,0.01638412,5.952799999999996,0.0005780111
0.3293999999999997,1.00784,0.6980000000000004,0.05829125,0.6557999999999993,0.01567699,6.952799999999996,0.0005899723
0.3794000000000004,0.955401,0.7980000000000018,0.05666647,0.7558000000000078,0.0151935,7.952799999999996,0.0005618083
0.42939999999999934,0.913379,0.8979999999999961,0.05566996,0.8558000000000021,0.01488456,8.952799999999996,0.0004975291
0.47940000000000005,0.878628,0.9979999999999976,0.05532304,0.9558000000000106,0.0147348,9.952799999999996,0.0004669576
0.529399999999999,0.849453,1.097999999999999,0.05606011,1.055800000000005,0.01479957,10.952799999999996,0.0004550903
0.5793999999999997,0.824866,1.1980000000000004,0.05957824,1.1557999999999993,0.01530558,11.952799999999996,0.0004392733
0.6294000000000004,0.804249,1.2980000000000018,0.07329765,1.2558000000000078,0.01702486,12.952799999999996,0.0004208126
0.6793999999999993,0.787213,1.3979999999999961,0.140335,1.3558000000000021,0.023052,13.952799999999996,0.0004067386
0.7294,0.773444,1.4979999999999976,0.208742,1.4558000000000106,0.04337188,14.952799999999996,0.0003973092
0.779399999999999,0.762706,1.597999999999999,0.293706,1.555800000000005,0.07544127,15.952799999999996,0.000389754
0.8293999999999997,0.754853,1.6980000000000004,0.317395,1.6557999999999993,0.08051369,16.952799999999996,0.0003825967
0.8794000000000004,0.749855,1.7980000000000018,0.197202,1.7558000000000078,0.08913224,17.952799999999996,0.0003761223
0.9293999999999993,0.747915,1.8979999999999961,0.108079,1.8558000000000021,0.04319979,18.952799999999996,0.0003707982
0.9794,0.749536,1.9979999999999976,0.08168127,1.9558000000000106,0.02805441,19.952799999999996,0.0003667355
1.029399999999999,0.755697,2.097999999999999,0.07008839,2.055800000000005,0.02225831,20.952799999999996,0.0003635824
1.0793999999999997,0.768169,2.1980000000000004,0.06359824,2.1557999999999993,0.0193211,21.952799999999996,0.0003609422
1.1294000000000004,0.789994,2.298000000000002,0.05938846,2.255800000000008,0.01754819,22.952799999999996,0.0003586631
1.1793999999999993,0.826597,2.397999999999996,0.05638052,2.355800000000002,0.0163488,23.952799999999996,0.0003568059
1.2294,0.888067,2.4979999999999976,0.05408647,2.4558000000000106,0.0154718,24.952799999999996,0.0003554196
1.279399999999999,0.994625,2.597999999999999,0.05226187,2.555800000000005,0.01479591,25.952799999999996,0.0003544181
1.3293999999999997,1.19146,2.6980000000000004,0.05077829,2.6557999999999993,0.01425787,26.952799999999996,0.0003537073
1.3794000000000004,1.59616,2.798000000000002,0.04956983,2.755800000000008,0.01382377,27.952799999999996,0.0003532818
1.4293999999999993,2.58986,2.897999999999996,0.04860856,2.855800000000002,0.01347628,28.952799999999996,0.0003531768
1.4794,5.70385,2.9979999999999976,0.04789441,2.9558000000000106,0.01320881,29.952799999999996,0.0003533961
1.529399999999999,11.1491,3.097999999999999,0.04745272,3.055800000000005,0.01302315,30.952799999999996,0.0003538951
1.5793999999999997,13.1577,3.1980000000000004,0.04733849,3.1557999999999993,0.01292933,31.952799999999996,0.0003546175
1.6294000000000004,11.4303,3.298000000000002,0.04764662,3.255800000000008,0.01294728,32.952799999999996,0.0003555266
1.6793999999999993,5.61244,3.397999999999996,0.04852793,3.355800000000002,0.01311006,33.952799999999996,0.0003565997
1.7294,3.36797,3.4979999999999976,0.05020639,3.4558000000000106,0.013468,34.952799999999996,0.0003578213
1.779399999999999,2.30883,3.597999999999999,0.05297431,3.555800000000005,0.01409091,35.952799999999996,0.0003591927
1.8293999999999997,1.75681,3.6980000000000004,0.05709686,3.6557999999999993,0.01505866,36.952799999999996,0.0003607315
1.8794000000000004,1.45027,3.798000000000002,0.06250429,3.755800000000008,0.01641921,37.952799999999996,0.0003624502
1.9293999999999993,1.26141,3.897999999999996,0.0683259,3.855800000000002,0.01809736,38.952799999999996,0.0003643372
1.9794,1.13549,3.9979999999999976,0.07296662,3.9558000000000106,0.01981007,39.952799999999996,0.0003663614
2.029399999999999,1.04655,4.097999999999999,0.07519692,4.055800000000005,0.02113719,40.952799999999996,0.0003684954
2.0793999999999997,0.980924,4.198,0.07484835,4.155799999999999,0.02175211,41.952799999999996,0.0003707336
2.1294000000000004,0.930844,4.298000000000002,0.0724457,4.255800000000008,0.02157736,42.952799999999996,0.0003730867
2.1793999999999993,0.8916,4.397999999999996,0.06880893,4.355800000000002,0.02076504,43.952799999999996,0.0003755632
2.2294,0.860192,4.4979999999999976,0.06476177,4.455800000000011,0.0195881,44.952799999999996,0.0003781585
2.279399999999999,0.834647,4.597999999999999,0.06087842,4.555800000000005,0.01830784,45.952799999999996,0.0003808606
2.3293999999999997,0.813622,4.698,0.05743138,4.655799999999999,0.01709257,46.952799999999996,0.0003836634
2.3794000000000004,0.79618,4.798000000000002,0.0544863,4.755800000000008,0.01601638,47.952799999999996,0.0003865699
