   ENERGY (CM-1)    JTOTL  JSTEP  JTOTU      F    I         SIG(F,I)
   7.150000000          0      1     11      1    1          335.959      
   7.200000000          0      1     11      1    1          334.187      
   7.250000000          0      1     11      1    1          332.332      
   7.300000000          0      1     11      1    1          330.427      
   7.350000000          0      1     11      1    1          328.528      
   7.400000000          0      1     11      1    1          326.982      
   7.450000000          0      1     11      1    1          323.337      
   7.500000000          0      1     11      1    1          321.677      
   7.550000000          0      1     11      1    1          319.648      
   7.600000000          0      1     11      1    1          317.483      
   7.650000000          0      1     11      1    1          315.111      
   7.700000000          0      1     11      1    1          311.986      
   7.750000000          0      1     11      1    1          298.031      
   7.800000000          0      1     11      1    1          313.977      
   7.850000000          0      1     11      1    1          310.826      
   7.900000000          0      1     11      1    1          309.550      
   7.950000000          0      1     11      1    1          305.752      
   8.000000000          0      1     12      1    1          304.394      
   8.050000000          0      1     12      1    1          302.875      
   8.100000000          0      1     12      1    1          301.408      
   8.150000000          0      1     12      1    1          300.019      
   8.200000000          0      1     12      1    1          298.716      
   8.250000000          0      1     12      1    1          297.505      
   8.300000000          0      1     12      1    1          296.391      
   8.350000000          0      1     12      1    1          295.386      
   8.400000000          0      1     12      1    1          294.510      
   8.450000000          0      1     12      1    1          293.810      
   8.500000000          0      1     12      1    1          293.419      
   8.550000000          0      1     12      1    1          293.844      
   8.600000000          0      1     12      1    1          296.320      
   8.650000000          0      1     12      1    1          288.811      
   8.700000000          0      1     12      1    1          288.250      
   8.750000000          0      1     12      1    1          288.050      
   8.800000000          0      1     12      1    1          287.827      
   8.850000000          0      1     12      1    1          287.616      
   8.900000000          0      1     12      1    1          287.486      
   8.950000000          0      1     12      1    1          287.041      
   9.000000000          0      1     12      1    1          286.914      
   9.050000000          0      1     12      1    1          286.544      
   9.100000000          0      1     12      1    1          284.668      
   9.150000000          0      1     12      1    1          289.775      
   9.200000000          0      1     12      1    1          288.575      
   9.250000000          0      1     12      1    1          288.436      
   9.300000000          0      1     12      1    1          288.507      
   9.350000000          0      1     12      1    1          288.667      
   9.400000000          0      1     12      1    1          288.881      
   9.450000000          0      1     12      1    1          289.127      
   9.500000000          0      1     12      1    1          289.396      
   9.550000000          0      1     12      1    1          289.678      
   9.600000000          0      1     12      1    1          289.964      
   9.650000000          0      1     12      1    1          290.250      
   9.700000000          0      1     12      1    1          290.528      
   9.750000000          0      1     12      1    1          290.793      
   9.800000000          0      1     12      1    1          291.041      
   9.850000000          0      1     12      1    1          291.268      
   9.900000000          0      1     12      1    1          291.472      
   9.950000000          0      1     12      1    1          291.651      
   10.00000000          0      1     12      1    1          291.809      
   10.05000000          0      1     12      1    1          291.952      
   10.10000000          0      1     12      1    1          292.085      
   10.15000000          0      1     12      1    1          292.084      
   10.20000000          0      1     12      1    1          283.942      
   10.25000000          0      1     12      1    1          286.366      
   10.30000000          0      1     12      1    1          289.133      
   10.35000000          0      1     12      1    1          289.320      
   10.40000000          0      1     12      1    1          269.904      
   10.45000000          0      1     12      1    1          290.099      
   10.50000000          0      1     12      1    1          289.794      
   10.55000000          0      1     12      1    1          289.576      
   10.60000000          0      1     12      1    1          289.924      
   10.65000000          0      1     12      1    1          285.542      
   10.70000000          0      1     12      1    1          286.850      
   10.75000000          0      1     13      1    1          286.557      
   10.80000000          0      1     13      1    1          286.054      
   10.85000000          0      1     13      1    1          285.463      
   10.90000000          0      1     13      1    1          284.817      
   10.95000000          0      1     13      1    1          284.128      
   10.95000000          0      1     13      2    1         2.821303E-03  
   10.95000000          0      1     13      1    2         0.210158      
   10.95000000          0      1     13      2    2          301.122      
   11.00000000          0      1     13      1    1          283.407      
   11.00000000          0      1     13      2    1         6.314348E-03  
   11.00000000          0      1     13      1    2         0.174957      
   11.00000000          0      1     13      2    2          285.606      
   11.05000000          0      1     13      1    1          282.658      
   11.05000000          0      1     13      2    1         1.034485E-02  
   11.05000000          0      1     13      1    2         0.176678      
   11.05000000          0      1     13      2    2          280.301      
   11.10000000          0      1     13      1    1          281.886      
   11.10000000          0      1     13      2    1         1.503252E-02  
   11.10000000          0      1     13      1    2         0.186021      
   11.10000000          0      1     13      2    2          273.122      
