    1     0.000000000000
    3     0.345200000000
    5     1.035600000000
    7     2.071200000000
    9     3.452000000000
   11     5.178000000000
   13     7.249200000000
   15     9.665600000000
   17    12.427200000000
   19    15.534000000000
   21    18.986000000000
   23    22.783200000000
   25    26.925600000000
   27    31.413200000000
   29    36.246000000000
   31    41.424000000000
   33    46.947200000000
   35    52.815600000000
   37    59.029200000000
   39    65.588000000000
   41    72.492000000000
   43    79.741200000000

