    1   121.706000000000
    2   122.051200000000
    3   122.741600000000
    4   123.777200000000
    5   125.158000000000
    6   126.884000000000
    7   128.955200000000
    8   131.371600000000
    9   134.133200000000
   10   137.240000000000
   11   140.692000000000
   12   144.489200000000
   13   148.631600000000
   14   153.119200000000
   15   157.952000000000
   16   163.130000000000
   17   168.653200000000
   18   174.521600000000
   19   180.735200000000
   20   187.294000000000
   21   194.198000000000
   22   201.447200000000
